Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Ai Weiwei,3.0,3.0,2.6666666666666665,2.375,2.8
Andrei Sakharov,2.5,4.0,2.5555555555555554,2.5,3.0
Aung San Suu Kyi,3.5,2.5555555555555554,2.888888888888889,3.375,2.9
Chen Guangcheng,2.625,3.111111111111111,2.5555555555555554,3.375,3.1
Denis Mukwege,2.0,3.2222222222222223,2.7777777777777777,2.625,2.6
Desmond Tutu,3.375,3.4444444444444446,3.0,3.0,3.4
Dolores Huerta,2.375,2.888888888888889,2.888888888888889,3.625,3.4
Eleanor Roosevelt,3.75,3.888888888888889,3.7777777777777777,3.25,3.2
Elie Wiesel,3.25,3.0,2.7777777777777777,2.5,2.4
Harvey Milk,2.875,2.888888888888889,3.2222222222222223,2.875,4.1
Ida B. Wells,3.625,3.0,3.5555555555555554,3.125,3.6
Liu Xiaobo,2.875,2.4444444444444446,3.3333333333333335,3.25,4.3
Malala Yousafzai,3.75,3.5555555555555554,4.444444444444445,2.5,3.4
Martin Luther King Jr.,2.375,2.7777777777777777,2.5555555555555554,3.625,3.2
Nadia Murad,3.125,1.7777777777777777,2.3333333333333335,2.875,3.6
Nelson Mandela,3.375,3.6666666666666665,3.3333333333333335,2.5,3.6
Oscar Romero,3.375,2.4444444444444446,2.7777777777777777,2.75,3.6
Rigoberta Menchú,3.0,3.111111111111111,2.5555555555555554,3.25,3.4
Shirin Ebadi,2.75,2.6666666666666665,2.888888888888889,2.75,2.9
Václav Havel,3.25,3.0,2.888888888888889,3.0,3.2
Wangari Maathai,3.125,3.888888888888889,3.3333333333333335,2.75,3.2
