persona,text,likert_scale,Itemnum,answer
Saddam Hussein,Is talkative,1 to 5,itemcount,5
Saddam Hussein,Tends to find fault with others,1 to 5,itemcount,4
Saddam Hussein,"Is depressed, blue",1 to 5,itemcount,5
Saddam Hussein,"Is original, comes up with new ideas",1 to 5,itemcount,4
Saddam Hussein,"Is relaxed, handles stress well",1 to 5,itemcount,5
Saddam Hussein,Is full of energy,1 to 5,itemcount,3
Saddam Hussein,Is a reliable worker,1 to 5,itemcount,5
Saddam Hussein,Has a forgiving nature,1 to 5,itemcount,3
Saddam Hussein,Is generally trusting,1 to 5,itemcount,4
Saddam Hussein,Tends to be lazy,1 to 5,itemcount,5
Saddam Hussein,"Is emotionally stable, not easily upset",1 to 5,itemcount,4
Saddam Hussein,Is inventive,1 to 5,itemcount,1
Saddam Hussein,Has an assertive personality,1 to 5,itemcount,1
Saddam Hussein,Perseveres until the task is finished,1 to 5,itemcount,1
Saddam Hussein,"Values artistic, aesthetic experiences",1 to 5,itemcount,4
Saddam Hussein,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Saddam Hussein,"Is outgoing, sociable",1 to 5,itemcount,3
Saddam Hussein,Is sometimes rude to others,1 to 5,itemcount,1
Saddam Hussein,Gets nervous easily,1 to 5,itemcount,2
Saddam Hussein,"Likes to reflect, play with ideas",1 to 5,itemcount,3
Saddam Hussein,Has few artistic interests,1 to 5,itemcount,3
Saddam Hussein,Likes to cooperate with others,1 to 5,itemcount,1
Saddam Hussein,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,3
Mao Zedong,Tends to find fault with others,1 to 5,itemcount,4
Mao Zedong,Is reserved,1 to 5,itemcount,4
Mao Zedong,Can be somewhat careless,1 to 5,itemcount,3
Mao Zedong,"Is relaxed, handles stress well",1 to 5,itemcount,5
Mao Zedong,Is curious about many different things,1 to 5,itemcount,5
Mao Zedong,Is full of energy,1 to 5,itemcount,3
Mao Zedong,Starts quarrels with others,1 to 5,itemcount,4
Mao Zedong,Can be tense,1 to 5,itemcount,2
Mao Zedong,"Is ingenious, a deep thinker",1 to 5,itemcount,1
Mao Zedong,Generates a lot of enthusiasm,1 to 5,itemcount,2
Mao Zedong,Has a forgiving nature,1 to 5,itemcount,4
Mao Zedong,Tends to be disorganized,1 to 5,itemcount,5
Mao Zedong,Worries a lot,1 to 5,itemcount,1
Mao Zedong,Has an active imagination,1 to 5,itemcount,3
Mao Zedong,Tends to be quiet,1 to 5,itemcount,1
Mao Zedong,Is generally trusting,1 to 5,itemcount,3
Mao Zedong,Tends to be lazy,1 to 5,itemcount,4
Mao Zedong,Is inventive,1 to 5,itemcount,3
Mao Zedong,Has an assertive personality,1 to 5,itemcount,3
Mao Zedong,Can be cold and aloof,1 to 5,itemcount,3
Mao Zedong,Perseveres until the task is finished,1 to 5,itemcount,3
Mao Zedong,"Values artistic, aesthetic experiences",1 to 5,itemcount,2
Mao Zedong,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Mao Zedong,Remains calm in tense situations,1 to 5,itemcount,4
Mao Zedong,Makes plans and follows through with them,1 to 5,itemcount,5
Mao Zedong,Gets nervous easily,1 to 5,itemcount,4
Mao Zedong,"Likes to reflect, play with ideas",1 to 5,itemcount,3
Mao Zedong,Has few artistic interests,1 to 5,itemcount,4
Mao Zedong,Is easily distracted,1 to 5,itemcount,5
Mao Zedong,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,3
Josef Stalin,Tends to find fault with others,1 to 5,itemcount,3
Josef Stalin,Does a thorough job,1 to 5,itemcount,4
Josef Stalin,"Is original, comes up with new ideas",1 to 5,itemcount,1
Josef Stalin,Is reserved,1 to 5,itemcount,3
Josef Stalin,"Is relaxed, handles stress well",1 to 5,itemcount,1
Josef Stalin,Is curious about many different things,1 to 5,itemcount,3
Josef Stalin,Starts quarrels with others,1 to 5,itemcount,5
Josef Stalin,Is a reliable worker,1 to 5,itemcount,4
Josef Stalin,Can be tense,1 to 5,itemcount,3
Josef Stalin,"Is ingenious, a deep thinker",1 to 5,itemcount,5
Josef Stalin,Generates a lot of enthusiasm,1 to 5,itemcount,3
Josef Stalin,Tends to be disorganized,1 to 5,itemcount,4
Josef Stalin,Worries a lot,1 to 5,itemcount,4
Josef Stalin,Has an active imagination,1 to 5,itemcount,3
Josef Stalin,Tends to be quiet,1 to 5,itemcount,4
Josef Stalin,Is generally trusting,1 to 5,itemcount,3
Josef Stalin,Tends to be lazy,1 to 5,itemcount,5
Josef Stalin,Is inventive,1 to 5,itemcount,2
Josef Stalin,Can be cold and aloof,1 to 5,itemcount,3
Josef Stalin,Perseveres until the task is finished,1 to 5,itemcount,3
Josef Stalin,Can be moody,1 to 5,itemcount,3
Josef Stalin,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Josef Stalin,Is considerate and kind to almost everyone,1 to 5,itemcount,3
Josef Stalin,Does things efficiently,1 to 5,itemcount,5
Josef Stalin,Makes plans and follows through with them,1 to 5,itemcount,5
Josef Stalin,Gets nervous easily,1 to 5,itemcount,4
Josef Stalin,"Likes to reflect, play with ideas",1 to 5,itemcount,4
Josef Stalin,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,1
Adolf Hitler,Is talkative,1 to 5,itemcount,3
Adolf Hitler,Tends to find fault with others,1 to 5,itemcount,4
Adolf Hitler,Does a thorough job,1 to 5,itemcount,5
Adolf Hitler,"Is depressed, blue",1 to 5,itemcount,5
Adolf Hitler,"Is original, comes up with new ideas",1 to 5,itemcount,2
Adolf Hitler,Starts quarrels with others,1 to 5,itemcount,3
Adolf Hitler,Can be tense,1 to 5,itemcount,4
Adolf Hitler,"Is ingenious, a deep thinker",1 to 5,itemcount,3
Adolf Hitler,Has a forgiving nature,1 to 5,itemcount,4
Adolf Hitler,Tends to be disorganized,1 to 5,itemcount,5
Adolf Hitler,Worries a lot,1 to 5,itemcount,4
Adolf Hitler,Has an active imagination,1 to 5,itemcount,4
Adolf Hitler,Tends to be quiet,1 to 5,itemcount,1
Adolf Hitler,Is generally trusting,1 to 5,itemcount,3
Adolf Hitler,Tends to be lazy,1 to 5,itemcount,5
Adolf Hitler,Is inventive,1 to 5,itemcount,5
Adolf Hitler,Has an assertive personality,1 to 5,itemcount,2
Adolf Hitler,Can be cold and aloof,1 to 5,itemcount,5
Adolf Hitler,Can be moody,1 to 5,itemcount,4
Adolf Hitler,Is considerate and kind to almost everyone,1 to 5,itemcount,5
Adolf Hitler,Prefers work that is routine,1 to 5,itemcount,4
Adolf Hitler,"Is outgoing, sociable",1 to 5,itemcount,3
Adolf Hitler,Is sometimes rude to others,1 to 5,itemcount,5
Adolf Hitler,Makes plans and follows through with them,1 to 5,itemcount,3
Adolf Hitler,Gets nervous easily,1 to 5,itemcount,3
Adolf Hitler,"Likes to reflect, play with ideas",1 to 5,itemcount,5
Adolf Hitler,Likes to cooperate with others,1 to 5,itemcount,4
Adolf Hitler,Is easily distracted,1 to 5,itemcount,5
Adolf Hitler,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,5
Benito Mussolini,Tends to find fault with others,1 to 5,itemcount,5
Benito Mussolini,Does a thorough job,1 to 5,itemcount,2
Benito Mussolini,"Is depressed, blue",1 to 5,itemcount,4
Benito Mussolini,Is reserved,1 to 5,itemcount,5
