Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
2 Pistols,3.375,3.0,3.0,2.75,3.4
Abdelhamid Abaaoud,3.25,2.778,3.556,2.75,2.6
Abdolmalek Rigi,3.0,3.667,2.333,2.875,3.2
Abdulaziz al-Omari,2.5,2.444,3.111,3.25,3.3
Abdullah Ahmed Abdullah,2.5,3.778,3.444,3.375,3.0
Abner Zwillman,4.0,2.667,3.556,3.75,3.1
Abu Ali al-Anbari,3.25,3.444,3.111,3.0,3.3
Abu Bakr al-Baghdadi,3.375,2.222,3.222,3.125,3.3
Abu Muslim al-Turkmani,2.75,3.0,3.778,3.375,2.5
Abu Qatada,2.75,3.333,3.0,2.5,2.5
Abu Salem,2.75,2.778,2.556,3.125,3.1
Abu Suleiman al-Naser,2.5,3.222,3.444,3.125,2.1
Abu Waheeb,2.625,3.333,3.111,4.0,2.6
Adolf Hitler,2.875,3.0,3.444,3.25,3.1
Adolfo Constanzo,3.25,2.333,2.667,2.75,3.1
Ahmad Suradji,3.5,4.0,3.222,2.625,3.7
Ahmed al-Nami,3.125,4.0,3.556,2.625,3.3
Aileen Wuornos,2.875,3.222,2.889,3.125,2.9
Akmal Shaikh,2.125,2.667,3.222,3.25,4.1
Al Capone,3.0,3.667,2.333,2.375,2.6
Albert Anastasia,2.25,2.556,3.556,3.625,3.3
Albert Fish,2.375,2.667,3.778,2.625,2.5
Alberto Franceschini,2.875,3.222,2.667,3.5,2.6
Alexander Pichushkin,3.125,2.667,2.111,3.625,3.3
Alexandros Giotopoulos,3.125,2.556,4.222,2.875,3.3
Alfredo Stroessner,2.75,3.111,3.111,3.125,3.1
Amado Carrillo ( el señor de los cielos),3.0,2.778,3.667,2.5,3.3
Amedy Coulibaly,4.25,3.222,3.222,2.875,4.0
Amelia Dyer,2.375,2.556,2.889,2.5,3.6
An Jung-geun,2.625,3.222,3.333,3.75,3.0
Anastasia Bitsenko,3.375,3.667,3.889,3.0,3.7
Anastasio Somoza Debayle,3.375,3.111,2.556,2.125,3.5
Anatoly Onoprienko,3.25,3.778,2.556,3.125,2.5
Anders Behring Breivik,2.375,3.556,3.0,2.375,3.2
Andreas Baader,2.625,3.889,3.667,2.75,3.6
Andrew Chan,2.625,2.111,2.333,2.625,3.6
Andrew Cunanan,2.125,3.556,3.333,3.0,3.0
Andréi Chikatilo,3.125,2.889,3.444,3.5,3.6
Angelo Bruno,3.625,3.333,2.444,2.125,2.7
Angie  Sanclemente,3.625,3.0,2.889,3.125,3.8
Anthony Casso,2.25,3.444,3.556,2.75,2.9
Anthony Corallo,3.5,2.889,3.889,2.625,3.1
Anthony Spilotro,2.625,2.556,2.556,3.0,2.5
Antonio Cárdenas Guillén,2.875,3.111,2.778,2.75,3.0
António Sampaio da Nóvoa,4.0,3.111,2.556,3.125,3.8
António de Oliveira Salazar,3.75,3.333,3.444,2.625,3.7
Aquilino Ribeiro,3.625,2.778,3.667,2.625,3.2
Arthur Shawcross,3.25,3.0,3.111,2.875,3.5
Arturo Beltrán Leyva,2.25,3.111,3.0,3.25,3.2
Arturo Guzmán Decena,3.125,2.778,4.0,2.75,2.2
Aslan Usoyan,2.875,3.222,2.556,2.875,2.4
Assata Shakur,3.5,3.222,3.444,2.625,2.8
Atique Ahmed,3.625,3.333,3.0,3.25,2.7
Atiyah Abd al-Rahman,2.5,3.556,3.111,3.375,2.7
Augusto Pinochet,2.625,3.889,3.111,2.625,3.3
Avraham Stern,2.75,3.444,2.556,3.375,3.2
Azahari Husin,3.625,3.222,2.333,3.75,4.4
Baba Anujka,2.75,2.444,2.111,2.625,3.6
Baby Face Nelson,3.375,3.333,2.556,3.25,3.6
Barbara Balzerani,2.875,2.778,3.333,2.375,2.7
Barry Mills,3.125,3.222,3.0,2.5,3.1
Barry Seal,3.625,4.111,3.222,1.5,3.0
Beate Zschäpe,3.25,3.0,3.111,2.5,3.6
Belle Gunness,3.0,3.778,3.111,3.0,2.8
Benito Mussolini,2.375,3.111,3.333,2.375,2.6
Benjamín Arellano Félix,3.0,3.222,3.111,2.75,3.3
Beverley Allitt,3.125,3.778,3.111,2.5,3.7
Bijeh,4.0,3.0,3.111,3.0,3.1
Billy the Kid,2.375,3.444,2.889,3.875,3.1
Bobby Joe Long,3.0,2.444,2.111,2.375,2.7
Boris Savinkov,2.75,3.0,2.889,2.5,3.3
Bruce Edwards Ivins,3.0,2.333,2.778,2.25,2.9
Bruno Lüdke,4.0,1.889,3.667,2.125,3.0
Bugs Moran,2.125,3.222,3.444,3.0,3.5
Bugsy Siegel,2.75,4.111,2.778,3.0,2.9
Béla Kiss,2.125,3.333,2.444,3.125,2.6
Cameron Douglas,3.375,3.0,3.111,3.0,2.9
Carl Großmann,3.125,2.778,2.667,3.25,2.6
Carl Panzram,4.0,2.111,3.556,3.25,2.5
Carlos Lehder,3.125,2.778,2.222,3.5,3.6
Carlos the Jackal,2.375,2.333,3.111,2.625,3.1
Carmine Galante,3.125,3.556,3.222,2.625,2.8
Carmine Persico,3.0,2.667,3.444,2.875,2.6
Carmine Tramunti,3.5,3.111,3.444,2.375,3.1
Cesare Battisti,3.125,3.0,2.889,2.625,2.5
"Charles ""Tex"" Watson",3.0,3.889,3.444,2.875,2.9
Charles Manson,2.75,3.111,2.333,3.25,3.1
Charles Ng,2.875,3.0,2.889,2.375,3.9
Charles Sobhraj,3.5,3.444,2.778,2.375,3.9
Charles Starkweather,2.625,3.444,3.222,3.5,3.2
Cheung Tze-keung,3.5,3.444,3.333,2.5,3.0
Chhota Shakeel,2.0,3.0,3.333,3.625,3.1
Christopher Coke,2.75,3.667,2.889,2.125,3.2
Ciro Terranova,3.875,3.444,3.111,3.125,3.0
Cleveland Torso Murderer,3.0,3.333,3.222,3.125,3.1
Comrade Artemio,2.25,4.111,2.778,2.875,2.7
Dagmar Overby,2.75,3.0,3.222,2.0,3.4
Dairo Antonio Úsuga David,3.25,3.556,3.889,2.75,3.0
Daniel Camargo Barbosa,2.75,2.778,2.333,3.0,3.9
Danny Rolling,3.25,3.0,2.889,2.25,2.6
Darya Nikolayevna Saltykova,3.375,3.778,2.444,2.875,2.8
David Berkowitz,4.25,2.444,4.444,2.75,2.4
David Berman,3.625,2.556,3.0,2.5,3.0
David Jenkins,2.375,3.222,2.889,2.375,3.6
Dawood Ibrahim,2.625,2.556,2.111,2.0,2.3
Dean Corll,2.625,3.111,2.556,3.375,3.2
Dean O'Banion,3.5,3.222,3.222,2.625,3.3
Delphine LaLaurie,3.375,3.333,2.889,3.125,3.0
Deniz Seki,3.375,3.333,2.778,3.125,3.3
Dennis Nilsen,2.75,3.778,3.0,3.125,2.8
Dennis Rader,3.25,3.778,3.667,2.375,2.2
Diego Murillo Bejarano,2.75,2.333,2.667,4.0,3.9
Diego Osorio,3.375,3.778,3.667,2.625,3.8
Dominick Napolitano,3.375,2.778,3.667,1.875,3.0
Donato Bilancia,3.875,2.556,3.667,2.75,3.2
Du Yuesheng,3.125,3.667,2.0,2.625,2.6
Dzhokhar Tsarnaev,3.0,3.0,3.222,2.5,3.5
Eazy-E,2.75,2.111,2.556,3.75,3.5
Ed Gein,2.75,4.222,3.556,2.75,3.8
Edgar Valdez Villarreal,3.125,4.222,2.889,3.25,3.6
Edith Lagos,2.625,3.0,3.889,2.875,3.8
Edmund Kemper,3.375,2.0,3.0,2.125,3.9
Eduardo Ravelo,3.125,3.0,3.667,2.75,3.0
Edward Bunker,3.875,2.444,3.556,2.875,3.2
Elena Iparraguirre Revoredo,3.25,3.0,3.444,2.75,2.7
Ellsworth Raymond Johnson,2.125,3.111,2.667,3.25,3.5
Emma Luciana Aispuro,3.375,3.889,3.667,3.375,3.1
Emmett Dalton,3.25,2.889,3.444,2.625,4.0
Enoch L. Johnson,2.5,2.889,3.444,2.875,2.8
Enrique Plancarte Solís,2.375,2.556,2.889,2.75,3.3
Eric Rudolph,2.375,2.556,3.444,3.5,3.2
Ernesto Fonseca Carrillo,3.0,3.111,3.222,2.75,2.6
Eugen Weidmann,3.375,3.222,3.0,3.625,2.2
Fabio Ochoa Vásquez,3.0,2.889,2.556,2.75,3.2
Fanny Kaplan,3.125,3.333,2.889,2.875,2.4
Fayez Banihammad,2.75,3.111,3.0,2.25,2.6
Ferdinand Marcos,3.875,3.111,3.444,3.5,3.5
Fidel Castro,4.0,3.556,2.333,2.375,3.2
Francesco Di Carlo,2.5,3.222,3.222,2.875,2.8
Francisco Franco,2.5,2.778,3.222,3.625,3.4
Francisco Javier Arellano Félix,2.375,2.556,2.667,3.625,2.8
Francisco Javier López Peña,2.375,2.778,3.444,2.125,3.1
Frank Capone,2.75,3.333,3.222,2.0,3.2
Frank Cullotta,2.125,3.556,3.0,3.25,3.5
Frank James,2.0,3.222,3.444,3.0,2.6
Frank Lucas,3.25,4.333,3.0,2.5,3.4
Frank Scalice,3.625,3.0,3.111,4.125,3.1
František Mrázek,3.5,4.0,2.333,2.5,1.8
François Marcantoni,2.25,3.111,3.222,3.125,3.2
François Spirito,2.75,3.556,3.111,2.875,3.5
Fred Burke,3.5,3.556,3.444,3.375,3.7
Fred West,4.375,2.444,3.111,2.875,2.6
Fritz Honka,3.5,3.111,2.556,2.75,2.6
Fulgencio Batista,3.25,2.333,3.111,3.0,3.2
Gaetano Reina,3.125,3.444,3.889,3.25,3.5
Gary M. Heidnik,3.125,2.333,2.889,2.25,3.0
Gary Ray Bowles,2.625,3.222,3.0,3.375,3.3
Gary Ridgway,2.5,2.889,3.333,3.0,2.9
Gene Gotti,3.5,2.778,3.0,3.75,2.7
George Jung,3.5,3.889,2.667,2.125,3.2
Georgios Papadopoulos,3.625,2.889,2.889,2.0,3.4
Gerlando Alberti,3.0,3.111,4.0,3.25,2.9
Gilberto Rodríguez Orejuela,3.75,2.667,3.222,3.875,2.4
Gonzalo Gaviria,3.625,4.222,2.444,3.125,3.5
"Greg ""Cadillac"" Anderson",3.25,2.667,3.778,3.125,2.9
Grim Sleeper,4.375,3.778,3.111,3.5,3.3
