Name,Question,Inr,Answer
Osama bin Laden,Is talkative,1,3
Osama bin Laden,Tends to find fault with others,2,2
Osama bin Laden,Does a thorough job,3,5
Osama bin Laden,"Is depressed, blue",4,2
Osama bin Laden,"Is original, comes up with new ideas",5,4
Osama bin Laden,Is reserved,6,3
Osama bin Laden,Is helpful and unselfish with others,7,4
Osama bin Laden,Can be somewhat careless,8,3
Osama bin Laden,"Is relaxed, handles stress well",9,4
Osama bin Laden,Is curious about many different things,10,4
Osama bin Laden,Is full of energy,11,4
Osama bin Laden,Starts quarrels with others,12,2
Osama bin Laden,Is a reliable worker,13,4
Osama bin Laden,Can be tense,14,4
Osama bin Laden,"Is ingenious, a deep thinker",15,4
Osama bin Laden,Generates a lot of enthusiasm,16,4
Osama bin Laden,Has a forgiving nature,17,3
Osama bin Laden,Tends to be disorganized,18,3
Osama bin Laden,Worries a lot,19,3
Osama bin Laden,Has an active imagination,20,4
Osama bin Laden,Tends to be quiet,21,2
Osama bin Laden,Is generally trusting,22,3
Osama bin Laden,Tends to be lazy,23,2
Osama bin Laden,"Is emotionally stable, not easily upset",24,4
Osama bin Laden,Is inventive,25,4
Osama bin Laden,Has an assertive personality,26,4
Osama bin Laden,Can be cold and aloof,27,3
Osama bin Laden,Perseveres until the task is finished,28,5
Osama bin Laden,Can be moody,29,4
Osama bin Laden,"Values artistic, aesthetic experiences",30,4
Osama bin Laden,"Is sometimes shy, inhibited",31,3
Osama bin Laden,Is considerate and kind to almost everyone,32,4
Osama bin Laden,Does things efficiently,33,4
Osama bin Laden,Remains calm in tense situations,34,4
Osama bin Laden,Prefers work that is routine,35,2
Osama bin Laden,"Is outgoing, sociable",36,3
Osama bin Laden,Is sometimes rude to others,37,2
Osama bin Laden,Makes plans and follows through with them,38,4
Osama bin Laden,Gets nervous easily,39,3
Osama bin Laden,"Likes to reflect, play with ideas",40,4
Osama bin Laden,Has few artistic interests,41,2
Osama bin Laden,Likes to cooperate with others,42,4
Osama bin Laden,Is easily distracted,43,3
Osama bin Laden,"Is sophisticated in art, music, or Literature",44,3
Abu Bakr al-Baghdadi,Is talkative,1,3
Abu Bakr al-Baghdadi,Tends to find fault with others,2,3
Abu Bakr al-Baghdadi,Does a thorough job,3,4
Abu Bakr al-Baghdadi,"Is depressed, blue",4,3
Abu Bakr al-Baghdadi,"Is original, comes up with new ideas",5,4
Abu Bakr al-Baghdadi,Is reserved,6,3
Abu Bakr al-Baghdadi,Is helpful and unselfish with others,7,4
Abu Bakr al-Baghdadi,Can be somewhat careless,8,3
Abu Bakr al-Baghdadi,"Is relaxed, handles stress well",9,4
Abu Bakr al-Baghdadi,Is curious about many different things,10,4
Abu Bakr al-Baghdadi,Is full of energy,11,4
Abu Bakr al-Baghdadi,Starts quarrels with others,12,1
Abu Bakr al-Baghdadi,Is a reliable worker,13,4
Abu Bakr al-Baghdadi,Can be tense,14,3
Abu Bakr al-Baghdadi,"Is ingenious, a deep thinker",15,4
Abu Bakr al-Baghdadi,Generates a lot of enthusiasm,16,4
Abu Bakr al-Baghdadi,Has a forgiving nature,17,4
Abu Bakr al-Baghdadi,Tends to be disorganized,18,2
Abu Bakr al-Baghdadi,Worries a lot,19,3
Abu Bakr al-Baghdadi,Has an active imagination,20,4
Abu Bakr al-Baghdadi,Tends to be quiet,21,2
Abu Bakr al-Baghdadi,Is generally trusting,22,3
Abu Bakr al-Baghdadi,Tends to be lazy,23,1
Abu Bakr al-Baghdadi,"Is emotionally stable, not easily upset",24,4
Abu Bakr al-Baghdadi,Is inventive,25,4
Abu Bakr al-Baghdadi,Has an assertive personality,26,4
Abu Bakr al-Baghdadi,Can be cold and aloof,27,3
Abu Bakr al-Baghdadi,Perseveres until the task is finished,28,5
Abu Bakr al-Baghdadi,Can be moody,29,3
Abu Bakr al-Baghdadi,"Values artistic, aesthetic experiences",30,4
Abu Bakr al-Baghdadi,"Is sometimes shy, inhibited",31,2
Abu Bakr al-Baghdadi,Is considerate and kind to almost everyone,32,4
Abu Bakr al-Baghdadi,Does things efficiently,33,4
Abu Bakr al-Baghdadi,Remains calm in tense situations,34,4
Abu Bakr al-Baghdadi,Prefers work that is routine,35,2
Abu Bakr al-Baghdadi,"Is outgoing, sociable",36,4
Abu Bakr al-Baghdadi,Is sometimes rude to others,37,3
Abu Bakr al-Baghdadi,Makes plans and follows through with them,38,5
Abu Bakr al-Baghdadi,Gets nervous easily,39,2
Abu Bakr al-Baghdadi,"Likes to reflect, play with ideas",40,4
Abu Bakr al-Baghdadi,Has few artistic interests,41,2
Abu Bakr al-Baghdadi,Likes to cooperate with others,42,4
Abu Bakr al-Baghdadi,Is easily distracted,43,3
Abu Bakr al-Baghdadi,"Is sophisticated in art, music, or Literature",44,3
Anders Behring Breivik,Is talkative,1,3
Anders Behring Breivik,Tends to find fault with others,2,4
Anders Behring Breivik,Does a thorough job,3,5
Anders Behring Breivik,"Is depressed, blue",4,2
Anders Behring Breivik,"Is original, comes up with new ideas",5,4
Anders Behring Breivik,Is reserved,6,3
Anders Behring Breivik,Is helpful and unselfish with others,7,1
Anders Behring Breivik,Can be somewhat careless,8,2
Anders Behring Breivik,"Is relaxed, handles stress well",9,3
Anders Behring Breivik,Is curious about many different things,10,3
Anders Behring Breivik,Is full of energy,11,3
Anders Behring Breivik,Starts quarrels with others,12,1
Anders Behring Breivik,Is a reliable worker,13,4
Anders Behring Breivik,Can be tense,14,4
Anders Behring Breivik,"Is ingenious, a deep thinker",15,4
Anders Behring Breivik,Generates a lot of enthusiasm,16,3
Anders Behring Breivik,Has a forgiving nature,17,1
Anders Behring Breivik,Tends to be disorganized,18,2
Anders Behring Breivik,Worries a lot,19,1
Anders Behring Breivik,Has an active imagination,20,4
Anders Behring Breivik,Tends to be quiet,21,2
Anders Behring Breivik,Is generally trusting,22,1
Anders Behring Breivik,Tends to be lazy,23,1
Anders Behring Breivik,"Is emotionally stable, not easily upset",24,4
Anders Behring Breivik,Is inventive,25,4
Anders Behring Breivik,Has an assertive personality,26,4
Anders Behring Breivik,Can be cold and aloof,27,4
Anders Behring Breivik,Perseveres until the task is finished,28,5
Anders Behring Breivik,Can be moody,29,4
Anders Behring Breivik,"Values artistic, aesthetic experiences",30,3
Anders Behring Breivik,"Is sometimes shy, inhibited",31,2
Anders Behring Breivik,Is considerate and kind to almost everyone,32,1
Anders Behring Breivik,Does things efficiently,33,4
Anders Behring Breivik,Remains calm in tense situations,34,4
Anders Behring Breivik,Prefers work that is routine,35,2
Anders Behring Breivik,"Is outgoing, sociable",36,1
Anders Behring Breivik,Is sometimes rude to others,37,3
Anders Behring Breivik,Makes plans and follows through with them,38,4
Anders Behring Breivik,Gets nervous easily,39,2
Anders Behring Breivik,"Likes to reflect, play with ideas",40,4
Anders Behring Breivik,Has few artistic interests,41,1
Anders Behring Breivik,Likes to cooperate with others,42,1
Anders Behring Breivik,Is easily distracted,43,2
Anders Behring Breivik,"Is sophisticated in art, music, or Literature",44,3
Pablo Escobar,Is talkative,1,5
Pablo Escobar,Tends to find fault with others,2,3
Pablo Escobar,Does a thorough job,3,5
Pablo Escobar,"Is depressed, blue",4,2
Pablo Escobar,"Is original, comes up with new ideas",5,5
Pablo Escobar,Is reserved,6,2
Pablo Escobar,Is helpful and unselfish with others,7,4
Pablo Escobar,Can be somewhat careless,8,3
Pablo Escobar,"Is relaxed, handles stress well",9,4
Pablo Escobar,Is curious about many different things,10,5
Pablo Escobar,Is full of energy,11,5
Pablo Escobar,Starts quarrels with others,12,2
Pablo Escobar,Is a reliable worker,13,5
Pablo Escobar,Can be tense,14,4
Pablo Escobar,"Is ingenious, a deep thinker",15,5
Pablo Escobar,Generates a lot of enthusiasm,16,5
Pablo Escobar,Has a forgiving nature,17,3
Pablo Escobar,Tends to be disorganized,18,2
Pablo Escobar,Worries a lot,19,2
Pablo Escobar,Has an active imagination,20,5
Pablo Escobar,Tends to be quiet,21,2
Pablo Escobar,Is generally trusting,22,3
Pablo Escobar,Tends to be lazy,23,2
Pablo Escobar,"Is emotionally stable, not easily upset",24,5
Pablo Escobar,Is inventive,25,5
Pablo Escobar,Has an assertive personality,26,5
Pablo Escobar,Can be cold and aloof,27,4
Pablo Escobar,Perseveres until the task is finished,28,5
Pablo Escobar,Can be moody,29,4
Pablo Escobar,"Values artistic, aesthetic experiences",30,4
Pablo Escobar,"Is sometimes shy, inhibited",31,2
Pablo Escobar,Is considerate and kind to almost everyone,32,4
Pablo Escobar,Does things efficiently,33,5
Pablo Escobar,Remains calm in tense situations,34,5
Pablo Escobar,Prefers work that is routine,35,2
Pablo Escobar,"Is outgoing, sociable",36,4
Pablo Escobar,Is sometimes rude to others,37,4
Pablo Escobar,Makes plans and follows through with them,38,5
Pablo Escobar,Gets nervous easily,39,2
Pablo Escobar,"Likes to reflect, play with ideas",40,4
Pablo Escobar,Has few artistic interests,41,2
Pablo Escobar,Likes to cooperate with others,42,4
Pablo Escobar,Is easily distracted,43,3
Pablo Escobar,"Is sophisticated in art, music, or Literature",44,4
Al Capone,Is talkative,1,4
Al Capone,Tends to find fault with others,2,3
Al Capone,Does a thorough job,3,5
Al Capone,"Is depressed, blue",4,2
Al Capone,"Is original, comes up with new ideas",5,5
Al Capone,Is reserved,6,2
Al Capone,Is helpful and unselfish with others,7,4
Al Capone,Can be somewhat careless,8,3
Al Capone,"Is relaxed, handles stress well",9,4
Al Capone,Is curious about many different things,10,5
Al Capone,Is full of energy,11,5
Al Capone,Starts quarrels with others,12,2
Al Capone,Is a reliable worker,13,5
Al Capone,Can be tense,14,4
Al Capone,"Is ingenious, a deep thinker",15,4
Al Capone,Generates a lot of enthusiasm,16,5
Al Capone,Has a forgiving nature,17,2
Al Capone,Tends to be disorganized,18,2
Al Capone,Worries a lot,19,2
Al Capone,Has an active imagination,20,4
Al Capone,Tends to be quiet,21,2
Al Capone,Is generally trusting,22,2
Al Capone,Tends to be lazy,23,2
Al Capone,"Is emotionally stable, not easily upset",24,4
Al Capone,Is inventive,25,4
Al Capone,Has an assertive personality,26,5
Al Capone,Can be cold and aloof,27,4
Al Capone,Perseveres until the task is finished,28,5
Al Capone,Can be moody,29,4
Al Capone,"Values artistic, aesthetic experiences",30,4
Al Capone,"Is sometimes shy, inhibited",31,2
Al Capone,Is considerate and kind to almost everyone,32,4
Al Capone,Does things efficiently,33,5
Al Capone,Remains calm in tense situations,34,4
Al Capone,Prefers work that is routine,35,2
Al Capone,"Is outgoing, sociable",36,5
Al Capone,Is sometimes rude to others,37,2
Al Capone,Makes plans and follows through with them,38,5
