Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Alexander Pushkin,3.75,3.556,3.889,3.25,4.8
Bill Gates,4.0,4.444,4.778,2.375,4.6
Carl Friedrich Gauss,3.0,3.556,4.222,2.875,4.7
Charles Dickens,4.125,3.889,4.0,3.125,4.9
Charlie Chaplin,4.25,4.0,4.111,3.0,4.8
Dave Bautista,4.125,3.889,4.111,2.625,4.1
Guglielmo Marconi,3.75,3.667,4.333,2.625,4.6
Hans Christian Andersen,3.25,3.889,3.889,3.375,4.9
Jet Li,3.125,4.222,4.333,2.375,4.2
Jimmy Wales,3.875,4.222,4.111,2.625,4.3
Leonhard Euler,3.25,3.889,3.889,2.875,4.3
Michael Jackson,4.5,4.556,4.556,2.875,5.0
Oscar Wilde,4.5,3.222,3.556,2.625,5.0
Pierre-Simon Laplace,3.5,3.778,3.889,3.0,4.0
Ronald Reagan,4.5,4.444,4.556,2.0,4.3
Steve Jobs,4.625,3.444,5.0,2.25,5.0
