Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Abu Bakr al-Baghdadi,3.75,3.667,4.111,2.5,3.9
Adolf Hitler,3.5,2.222,4.444,2.25,4.0
Al Capone,4.5,3.222,4.444,2.5,4.2
Anders Behring Breivik,3.125,1.889,4.333,2.5,3.8
Benito Mussolini,4.75,2.667,4.778,2.0,4.0
Bugsy Siegel,4.5,3.667,4.0,2.75,4.5
Charles Manson,4.5,2.778,3.667,3.0,4.4
Jack the Ripper,3.625,3.111,3.889,2.625,4.1
Jeffrey Dahmer,2.375,2.556,4.0,2.875,3.8
John Gotti,4.5,3.333,4.556,2.5,4.1
Joseph Stalin,3.75,2.667,4.778,2.375,3.7
Mao Zedong,4.25,4.111,4.556,2.5,4.5
Osama bin Laden,3.5,3.667,3.889,2.75,3.9
Pablo Escobar,4.5,3.222,4.333,2.25,4.5
Ted Bundy,4.0,2.778,4.333,2.375,4.3
