Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Al Gore,3.75,4.444,4.333,2.625,4.6
Aung San Suu Kyi,3.25,4.556,4.444,2.125,4.1
Barack Obama,3.875,4.556,4.333,2.125,4.3
Henry Kissinger,3.375,3.778,4.222,2.5,4.3
Jimmy Carter,3.375,4.778,4.556,2.25,4.1
Kofi Annan,3.5,4.444,4.111,2.5,4.2
Malala Yousafzai,4.125,4.778,4.556,2.375,4.5
Martin Luther King Jr.,4.25,4.889,4.556,2.125,4.5
Mikhail Gorbachev,3.625,4.444,4.111,2.5,4.2
Mother Teresa,3.25,4.889,4.333,2.375,3.6
Nelson Mandela,4.0,4.778,4.556,2.0,4.4
Tenzin Gyatso,3.625,4.667,4.222,2.125,4.4
Theodore Roosevelt,5.0,4.667,4.889,1.5,4.7
Woodrow Wilson,3.75,4.444,4.556,2.625,4.5
Yasser Arafat,3.75,4.222,4.111,3.125,4.0
