Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
A. T. Ariyaratne,2.625,3.333,4.0,3.25,3.2
A.H.M. Noman Khan,3.875,3.333,3.778,2.75,3.4
Abdon Nababan,4.0,2.556,2.667,2.75,2.9
Abdul Razak Hussein,3.25,2.778,3.333,3.625,2.8
Abdul Samad Ismail,3.125,4.0,3.556,3.25,3.4
Abdul Sattar Edhi,3.25,3.333,3.667,3.625,2.9
Abdullah Abu Sayeed,3.625,3.333,2.667,2.875,3.4
Abdurrahman Wahid,2.875,3.111,3.444,2.625,3.2
Abel Muzorewa,3.0,2.889,2.778,2.125,3.8
Abiy Ahmed Ali,3.625,3.111,3.333,2.125,2.6
Adam Łopatka,3.125,3.667,2.889,2.625,2.9
Adeebul Hasan Rizvi,2.375,3.222,3.556,2.75,3.5
Adolfo Pérez Esquivel,2.625,3.222,3.0,2.75,3.1
Ahmad Syafi'i Maarif,3.75,3.0,3.778,2.625,3.4
Akhtar Hameed Khan,3.25,3.556,2.667,2.75,3.8
Akira Kurosawa,3.25,3.667,3.444,2.625,4.3
Al Gore,2.625,3.667,3.556,2.75,3.9
Albert John Mvumbi Luthuli,3.375,3.222,3.222,3.375,2.7
Albert Schweitzer,3.5,2.667,3.222,3.75,3.1
Ales Bialiatski,2.625,2.778,2.556,3.0,3.5
Alfonso García Robles,2.875,2.778,3.556,2.75,3.1
Alfred Hermann Fried,3.0,3.444,3.222,3.125,3.2
Alfredo Bengzon,3.375,3.778,2.667,2.75,3.0
Ali Sadikin,3.125,2.889,4.444,3.0,3.7
Aloysius Schwartz,2.875,2.889,2.889,2.625,2.9
Alva Myrdal,2.875,2.222,2.667,4.25,3.2
Ambrosius Ruwindrijarto,3.625,2.444,3.222,2.5,2.3
Amitabha Chowdhury,2.25,2.778,3.333,3.25,3.0
Anand Panyarachun,3.25,2.222,3.444,3.25,3.6
Ananda Galappatti,2.75,3.333,2.778,2.625,2.7
Andrei Sakharov,2.125,3.667,2.333,2.0,3.1
Angel Alcala,3.0,2.889,3.556,3.875,2.7
Angela Gomes,2.875,2.889,3.778,3.0,2.2
Angelina Acheng Atyam,3.5,3.333,3.333,3.875,2.5
Angkhana Neelaphaijit,3.125,3.0,3.111,2.5,3.7
Aniceto Guterres Lopes,3.375,3.556,2.889,3.125,2.8
Anna Šabatová,2.5,3.111,3.333,2.875,3.1
Anshu Gupta,2.875,3.556,3.444,3.125,3.1
Anton Soedjarwo,3.0,3.0,2.889,3.625,2.7
Antonio Fortich,3.625,2.667,3.0,3.375,3.0
Antonio Oposa,2.5,3.778,2.333,3.25,3.8
Anwar Sadat,2.875,3.111,2.889,3.0,2.3
Aristide Briand,2.75,2.778,3.444,2.5,3.1
Arthur Henderson,3.125,2.889,2.556,2.0,2.9
Arturo Alcaraz,3.125,2.111,3.222,3.25,2.8
Arun Shourie,2.75,2.889,3.333,2.875,2.6
Aruna Roy,3.875,2.556,3.667,2.75,2.8
Arvind Kejriwal,3.875,3.556,3.111,3.25,3.6
Asma Jahangir,2.75,3.333,3.556,3.5,3.0
Atmakusumah Astraatmadja,2.75,4.222,3.111,2.5,3.2
Auguste Beernaert,3.0,2.333,1.778,2.5,2.2
Augustine Joung Kang,3.5,3.444,3.444,3.375,4.0
Aung San Suu Kyi,3.125,3.556,2.778,2.5,3.7
Austen Chamberlain,3.125,2.889,3.333,2.75,3.5
B. C. Shekhar,3.5,3.444,3.556,2.375,2.9
B. G. Verghese,2.625,3.222,2.556,3.375,3.0
Baba Amte,3.125,2.778,2.889,3.25,2.8
Banoo Jehangir Coyaji,2.25,4.111,3.0,3.375,3.2
Barack Obama,3.75,3.778,3.111,2.75,3.3
Benazir Bhutto,2.5,3.111,3.111,2.875,2.6
Benjamin Abadiano,3.125,3.111,2.889,3.125,3.2
Benjamin Galstaun,2.5,2.778,3.556,3.0,3.2
Bertha von Suttner,3.625,3.778,3.111,2.5,3.5
Betty Williams,3.25,3.0,3.111,3.25,3.1
Bezwada Wilson,3.125,3.778,3.222,2.125,2.6
Bharat Koirala,2.625,3.0,3.444,4.125,3.2
Bharat Vatwani,3.0,2.778,3.333,2.5,3.4
Bienvenido Lumbera,3.375,3.444,2.667,3.375,3.2
Bilquis Edhi,3.5,2.333,2.778,2.75,2.6
Biram Dah Abeid,3.0,3.222,3.333,2.75,2.5
Butet Manurung,2.625,2.778,2.667,3.0,3.7
Carl von Ossietzky,2.75,3.556,3.333,4.5,3.4
Carlos Filipe Ximenes Belo,3.375,3.333,2.556,3.5,3.4
Carlos Saavedra Lamas,3.875,3.444,3.222,1.75,3.0
Carolyn Gomes,3.375,3.667,2.889,2.625,3.4
Chamlong Srimuang,2.75,3.444,2.444,3.125,2.2
Chandi Prasad Bhatt,3.0,3.444,3.778,2.5,3.2
Chang Chun-ha,1.75,3.556,3.0,2.875,3.6
Chang Kee-ryo,2.75,2.667,2.778,3.5,2.5
Charles Albert Gobat,2.5,2.667,2.889,2.875,3.1
Charles G. Dawes,2.875,3.667,2.778,2.875,3.0
Chen Guangcheng,3.5,3.222,3.222,3.75,2.4
Chen Shu-chu,2.75,2.778,3.444,2.5,2.9
Cheng Yen,3.375,3.778,2.778,2.875,3.3
Chintaman Dwarkanath Deshmukh,3.75,3.667,2.333,2.375,3.5
Christian Lous Lange,3.75,3.889,3.667,2.875,2.7
Christopher Bernido,2.375,3.0,3.222,2.375,2.5
Chung To,3.0,3.333,2.778,2.75,2.9
Conchita Carpio-Morales,3.0,2.889,3.111,3.625,3.2
Corazon Aquino,2.75,3.222,2.889,2.625,3.9
Cordell Hull,2.5,3.667,2.889,2.625,3.6
Coretta Scott King,3.125,3.778,3.0,3.0,3.4
Cynthia Maung,3.625,3.556,2.556,2.75,3.2
Dag Hammarskjöld,3.0,3.111,2.667,3.375,2.9
Dara Nusserwanji Khurody,2.875,2.778,3.444,2.625,2.4
David Trimble,3.5,3.889,2.111,3.0,2.8
Deep Joshi,3.75,3.333,2.889,2.625,2.8
Deng Pufang,3.625,3.778,3.333,3.0,3.7
Denis Mukwege,3.125,3.556,3.444,3.75,2.7
Desmond Tutu,2.625,3.111,2.889,3.25,3.9
Dita Indah Sari,4.25,2.889,2.889,3.25,3.1
Dmitry Muratov,3.0,3.0,3.0,3.125,3.4
