Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
2 Pistols,3.875,2.778,2.667,2.625,2.5
Abdelhamid Abaaoud,3.0,3.778,2.778,1.875,3.4
Abdolmalek Rigi,3.0,3.667,3.667,2.375,2.9
Abdulaziz al-Omari,2.625,3.222,2.667,2.125,3.3
Abdullah Ahmed Abdullah,2.75,2.667,3.444,2.0,3.1
Abner Zwillman,3.125,2.778,3.222,2.375,3.4
Abu Ali al-Anbari,2.875,3.0,2.889,3.0,2.6
Abu Bakr al-Baghdadi,2.0,3.889,3.333,2.875,3.5
Abu Muslim al-Turkmani,3.25,4.0,2.556,2.375,3.4
Abu Qatada,4.0,3.444,4.333,3.625,2.7
Abu Salem,4.25,3.111,3.333,2.75,3.0
Abu Suleiman al-Naser,4.0,3.222,2.778,2.25,3.0
Abu Waheeb,2.875,3.778,3.222,3.125,3.2
Adolf Hitler,2.25,2.889,3.556,2.75,3.3
Adolfo Constanzo,3.5,3.111,3.222,2.625,3.0
Ahmad Suradji,3.375,2.444,2.556,3.0,3.2
Ahmed al-Nami,3.75,3.333,3.667,1.625,3.5
Aileen Wuornos,3.25,2.556,3.0,3.125,2.6
Akmal Shaikh,3.0,4.111,3.444,2.875,2.7
Al Capone,2.125,2.889,2.111,3.0,2.3
Albert Anastasia,4.75,3.222,2.889,2.625,3.4
Albert Fish,3.5,2.778,3.0,2.0,2.5
Alberto Franceschini,2.75,3.444,3.222,3.25,3.2
Alexander Pichushkin,3.5,3.0,2.556,2.5,3.3
Alexandros Giotopoulos,3.25,3.667,3.222,3.5,3.6
Alfredo Stroessner,3.125,2.222,3.778,2.75,2.8
Amado Carrillo ( el señor de los cielos),3.75,3.778,2.111,2.375,2.8
Amedy Coulibaly,2.75,3.222,2.778,3.5,2.8
Amelia Dyer,3.25,4.333,2.222,2.25,3.3
An Jung-geun,2.625,2.889,3.667,2.125,2.5
Anastasia Bitsenko,4.5,3.0,2.222,2.625,2.8
Anastasio Somoza Debayle,2.375,3.889,1.667,1.75,3.0
Anatoly Onoprienko,2.625,2.333,3.444,2.5,2.5
Anders Behring Breivik,3.125,2.222,4.0,3.25,1.9
Andreas Baader,2.625,3.0,3.556,2.5,3.0
Andrew Chan,3.125,2.889,4.444,2.25,3.0
Andrew Cunanan,3.0,2.333,3.333,2.875,2.7
Andréi Chikatilo,2.0,3.0,3.556,2.75,2.9
Angelo Bruno,2.5,2.778,3.222,2.875,1.4
Angie  Sanclemente,2.875,2.222,2.222,2.625,2.0
Anthony Casso,3.75,4.667,2.444,2.375,2.4
Anthony Corallo,2.875,2.667,2.0,3.375,2.0
Anthony Spilotro,2.375,3.111,3.111,3.625,2.8
Antonio Cárdenas Guillén,3.375,3.778,3.222,2.75,2.7
António Sampaio da Nóvoa,3.0,3.0,3.0,2.625,2.2
António de Oliveira Salazar,1.25,1.778,2.111,4.125,2.3
Aquilino Ribeiro,2.5,2.556,3.889,2.125,2.5
Arthur Shawcross,4.375,2.778,2.444,3.375,3.4
Arturo Beltrán Leyva,3.125,2.889,4.0,2.875,2.8
Arturo Guzmán Decena,3.125,2.778,3.333,2.375,3.3
Aslan Usoyan,2.75,3.111,2.333,2.0,3.1
Assata Shakur,2.5,3.444,2.556,3.0,3.6
Atique Ahmed,2.875,3.667,2.333,2.0,3.1
Atiyah Abd al-Rahman,3.125,3.222,3.222,3.25,2.2
