Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
A. T. Ariyaratne,3.875,3.0,3.778,2.5,2.6
A.H.M. Noman Khan,1.75,3.222,2.667,3.375,3.5
Abdon Nababan,2.875,2.889,2.444,2.375,3.3
Abdul Razak Hussein,3.0,2.889,2.444,4.125,4.0
Abdul Samad Ismail,3.0,3.111,4.0,3.25,2.9
Abdul Sattar Edhi,2.75,2.333,3.111,2.875,2.8
Abdullah Abu Sayeed,3.25,4.111,2.667,3.125,2.9
Abdurrahman Wahid,2.75,2.778,2.0,2.0,2.7
Abel Muzorewa,2.5,2.556,3.889,3.25,2.8
Abiy Ahmed Ali,3.25,2.333,2.556,1.25,3.3
Adam Łopatka,2.5,3.111,2.778,4.0,3.3
Adeebul Hasan Rizvi,2.25,2.778,2.778,2.25,2.5
Adolfo Pérez Esquivel,4.25,2.778,4.333,3.875,3.6
Ahmad Syafi'i Maarif,2.625,3.444,2.778,2.625,2.5
Akhtar Hameed Khan,3.625,2.556,3.556,2.25,4.1
Akira Kurosawa,2.875,3.111,3.556,2.375,2.8
Al Gore,2.75,3.667,2.556,1.625,3.0
Albert John Mvumbi Luthuli,2.125,3.0,3.333,2.25,3.1
Albert Schweitzer,2.5,3.111,4.0,2.0,2.0
Ales Bialiatski,2.625,3.111,3.222,2.875,2.9
Alfonso García Robles,2.125,3.444,2.111,2.625,2.2
Alfred Hermann Fried,3.0,3.556,2.667,3.375,2.7
Alfredo Bengzon,2.875,2.333,2.222,2.75,1.9
Ali Sadikin,3.0,2.222,3.222,2.875,1.8
Aloysius Schwartz,4.25,3.778,3.0,3.5,2.5
Alva Myrdal,3.375,2.778,2.778,2.75,2.5
Ambrosius Ruwindrijarto,3.875,2.111,3.222,3.25,3.2
Amitabha Chowdhury,3.875,2.667,3.222,2.75,3.6
Anand Panyarachun,1.375,3.444,2.444,2.875,2.7
Ananda Galappatti,3.875,3.556,2.556,2.625,3.6
Andrei Sakharov,2.875,2.333,3.0,2.5,2.7
Angel Alcala,2.625,2.778,2.444,1.625,2.4
Angela Gomes,3.5,3.667,2.444,2.25,2.5
Angelina Acheng Atyam,1.625,2.889,3.0,2.375,3.1
Angkhana Neelaphaijit,3.0,4.889,2.778,3.0,2.6
Aniceto Guterres Lopes,3.125,3.889,2.889,3.125,3.4
Anna Šabatová,2.875,3.333,2.889,3.0,3.0
Anshu Gupta,3.25,3.333,3.444,2.25,2.7
Anton Soedjarwo,3.125,2.889,3.0,2.0,3.5
Antonio Fortich,3.0,2.778,3.778,2.875,3.7
Antonio Oposa,3.875,3.111,3.222,2.875,2.8
Anwar Sadat,3.75,3.0,3.111,1.875,3.8
Aristide Briand,2.75,2.667,2.333,2.75,3.5
Arthur Henderson,3.0,3.222,3.333,2.25,3.5
Arturo Alcaraz,3.0,2.778,2.556,3.5,2.3
Arun Shourie,3.375,2.778,3.222,3.875,3.3
Aruna Roy,3.5,2.889,3.333,3.25,2.7
Arvind Kejriwal,3.375,2.889,2.889,1.625,3.1
Asma Jahangir,3.875,3.889,3.556,3.875,3.1
Atmakusumah Astraatmadja,3.5,3.0,2.556,2.0,2.9
Auguste Beernaert,3.25,3.0,3.667,3.25,3.1
Augustine Joung Kang,3.125,4.111,3.667,1.625,2.4
Aung San Suu Kyi,2.875,3.556,3.222,3.125,3.5
Austen Chamberlain,4.0,2.778,3.222,1.875,2.4
B. C. Shekhar,2.5,3.111,3.333,3.25,2.4
B. G. Verghese,3.25,3.0,4.333,2.5,2.5
Baba Amte,3.375,3.222,2.778,2.375,3.1
Banoo Jehangir Coyaji,3.125,2.222,3.222,2.0,2.9
Barack Obama,3.0,3.111,2.111,1.375,2.6
Benazir Bhutto,3.25,2.111,2.222,2.125,2.5
Benjamin Abadiano,3.5,3.222,2.111,2.875,2.6
Benjamin Galstaun,3.25,4.0,3.444,3.375,2.6
Bertha von Suttner,3.875,2.222,2.333,2.375,3.0
Betty Williams,3.75,2.444,4.0,2.25,2.4
Bezwada Wilson,3.625,2.778,3.222,2.625,3.6
Bharat Koirala,3.25,3.111,2.889,3.375,1.3
