Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
50 Cent,2.875,2.333,3.222,1.875,2.6
A. A. Milne,2.75,2.778,3.222,3.0,3.1
Abdelkader El Djezairi,2.375,3.444,3.0,2.875,3.1
Abraham Lincoln,2.125,3.556,2.667,3.875,3.0
Ada Yonath,4.125,3.0,2.556,2.875,2.7
Adele,2.375,2.778,3.222,2.75,2.4
Agnez Mo,2.875,2.444,2.778,3.625,2.6
Akbar Hashemi Rafsanjani,2.75,2.778,3.0,2.25,2.3
Akebono Tarō,2.75,3.333,2.556,3.125,2.3
Akon,3.375,3.333,2.889,2.375,3.1
Akshay Kumar,2.875,3.444,3.444,2.625,3.3
Al Pacino,3.125,3.778,2.889,2.5,3.6
Alain Badiou,2.375,3.556,3.222,2.25,2.7
Alain Delon,3.375,2.556,3.778,2.125,3.9
Alberto Santos-Dumont,3.0,2.222,3.333,2.625,3.3
Alexander Friedmann,3.75,3.444,3.333,2.125,3.1
Alexander Hamilton,2.375,2.0,3.111,1.875,3.1
Alexander Pushkin,4.0,3.444,2.667,3.125,3.6
Alfred Lyttelton,2.75,4.0,3.222,3.0,2.7
Alia Bhatt,2.0,3.556,3.111,2.375,2.8
Alice Bah Kuhnke,3.0,2.333,3.444,1.75,3.0
Alla Pugacheva,2.5,3.111,2.333,3.0,2.4
Amin Maalouf,3.375,2.111,3.667,3.0,3.4
Amitabh Bachchan,2.875,3.556,2.667,2.5,2.7
Ana Mendieta,3.0,2.333,3.889,3.625,3.3
Anastacia,3.125,3.111,3.222,2.625,3.7
Andre Geim,2.5,2.333,4.0,2.375,3.0
Andrea M. Ghez,3.75,3.556,3.444,3.875,4.6
Andrea Sestini Hlaváčková,2.875,3.667,2.444,2.625,3.1
Andrew Carnegie,3.375,3.0,3.222,2.125,1.5
Andrew Garfield,4.0,2.556,3.0,3.375,2.4
Andy Warhol,3.375,3.778,3.111,2.5,3.1
Angelina Jolie,2.25,2.778,4.111,2.875,2.6
Anggun,3.625,2.778,2.556,1.875,3.2
Anna Akhmatova,2.375,2.889,3.444,4.625,3.6
Anna Netrebko,2.5,4.222,3.444,3.875,3.8
Anton Tkáč,2.375,3.333,3.556,2.125,2.9
Ariana Grande,2.5,3.111,1.556,3.75,3.1
Aristotle Onassis,2.375,3.111,2.222,2.875,3.4
Arkady Vorobyov,2.625,3.0,2.333,2.5,3.1
Armen Sarkissian,4.0,3.444,4.222,3.25,2.4
Arnold Schwarzenegger,3.0,3.778,2.333,1.625,3.4
Asif Ali Zardari,3.0,3.444,2.667,2.5,3.5
Audrey Hepburn,3.5,2.778,3.556,2.625,1.9
Avril Lavigne,3.875,3.222,3.222,3.25,2.1
Ayaan Hirsi Ali,3.0,3.333,4.111,2.625,3.0
Aziz Sancar,2.625,3.222,3.444,1.875,3.1
Bamir Topi,2.75,2.667,4.111,2.5,3.1
Barbora Strýcová,4.25,2.778,2.444,3.375,3.4
Barry Bonds,2.5,3.333,3.0,4.125,3.0
Benjamin Constant,2.125,2.667,3.444,2.5,2.9
Benjamin List,2.75,4.0,2.889,2.5,2.5
Benoit Mandelbrot,2.5,3.111,2.889,1.875,3.2
Bernard Hinault,3.0,3.667,2.889,3.0,4.3
Bernardo Bertolucci,2.5,3.444,3.556,2.5,2.1
Bernhard von Bülow,3.25,3.444,3.444,2.75,3.7
Betty White,2.875,2.778,2.444,2.375,3.1
Beyoncé,2.5,2.778,2.444,2.5,2.9
Bill Clinton,2.25,3.889,1.889,2.0,3.4
Bill Gates,2.875,3.222,4.0,3.875,3.1
Billie Eilish,3.125,3.0,2.889,2.375,2.6
Billie Holiday,3.75,3.0,2.778,3.875,2.7
Bing Crosby,2.125,2.889,3.333,1.75,2.1
Bob Dylan,2.25,3.111,3.0,3.625,4.1
Bob Fosse,2.25,2.556,3.667,3.75,4.4
Bob Marley,3.875,3.0,3.556,2.375,2.9
Bohumil Němeček,3.5,3.222,2.333,3.125,2.6
Bonnie Wright,2.125,3.444,3.111,3.5,2.9
Bono,2.25,2.667,3.0,3.5,2.7
Brad Pitt,2.875,3.556,3.111,2.625,2.5
Bradley Cooper,3.125,1.889,2.778,3.375,2.2
Brigitte Bardot,2.875,2.444,2.556,3.25,3.8
Britney Spears,2.75,3.667,3.333,2.625,2.4
Brock Lesnar,3.375,2.556,2.0,2.375,2.8
Bruce Beutler,2.125,3.0,2.556,2.75,2.1
Bruce Lee,3.625,1.667,4.111,3.5,2.6
Bruno Mars,3.0,3.444,2.444,2.0,3.3
Buckminster Fuller,3.625,4.111,3.556,2.0,4.0
Caitlyn Jenner,2.75,3.0,3.0,2.75,2.1
Camillo Golgi,3.5,4.222,2.667,3.125,3.7
Cardi B,3.875,2.444,3.889,4.25,3.2
Carl Friedrich Gauss,4.25,3.444,2.778,3.0,3.3
Carl Gustaf Emil Mannerheim,3.125,3.333,3.444,3.5,3.1
Carlo Biotti,2.875,2.0,3.778,2.5,2.1
Carlos Slim,3.0,2.778,3.556,2.25,2.8
Cate Blanchett,3.875,3.667,2.556,2.875,1.9
Cecil Rhodes,3.375,3.111,2.667,1.875,1.6
Charles Barkley,3.125,3.778,3.222,4.0,2.7
Charles Bukowski,2.25,2.889,3.778,3.375,3.3
Charles Dickens,2.625,2.333,2.0,2.75,2.6
Charles III,2.125,2.556,2.333,3.0,3.0
Charles III of the United Kingdom,3.75,3.444,3.444,3.875,2.8
Charles K. Kao,3.125,2.778,3.444,2.875,3.0
Charlie Chaplin,2.75,3.0,3.778,2.25,3.4
Chien-Shiung Wu,2.5,3.111,3.111,2.875,2.5
Chinua Achebe,3.375,2.444,3.111,2.375,3.1
Chris Brown,3.75,3.667,2.667,3.125,3.5
Chris Pratt,3.125,3.0,2.889,3.5,2.5
Christa Wolf,3.125,2.889,2.333,3.25,2.8
Christian Goldbach,3.0,2.778,2.333,2.0,3.0
Christina Aguilera,3.25,4.556,2.556,2.375,2.9
Chuck Liddell,2.5,2.889,2.556,3.125,2.8
Clint Eastwood,4.125,3.778,4.444,3.125,3.3
Conor McGregor,2.5,2.444,2.222,3.375,2.7
Cristiano Ronaldo,2.75,4.0,2.778,2.875,3.3
Cyril Ramaphosa,3.125,3.222,2.222,2.75,3.3
Czesław Lang,3.75,4.889,3.333,1.5,3.4
Dan Millman,3.0,3.778,3.222,1.75,3.5
Dana Zátopková,3.625,3.333,2.889,2.5,2.6
Daniel Kahneman,2.875,3.444,3.222,4.0,3.1
Daniel Kolář,2.25,2.778,3.333,2.25,3.1
Daniel Scioli,4.0,3.222,2.444,2.875,3.4
Dave Bautista,3.375,3.222,2.667,2.125,3.1
David Beckham,3.375,3.0,3.222,3.375,2.3
David Bowie,2.875,3.667,3.333,3.5,3.8
David Limberský,3.375,3.0,2.778,3.0,4.8
Debbie Reynolds,2.625,3.0,2.444,3.0,3.1
Demi Lovato,2.5,3.222,2.556,3.0,2.5
Denis Urubko,3.0,2.556,3.111,3.0,2.9
"Diana, Princess of Wales",4.25,3.111,3.111,3.25,3.4
Dick Fosbury,4.125,2.778,2.889,1.5,2.5
Diego Maradona,3.375,3.444,2.778,2.5,3.1
Dominik Hašek,3.0,2.111,3.778,3.125,3.1
Donald Rumsfeld,3.0,3.444,3.111,4.125,2.6
Donald Trump,1.75,3.333,2.889,2.0,3.3
Dr. Dre,2.75,4.0,3.778,2.625,2.5
Drake,3.125,2.111,1.889,3.25,2.7
Dua Lipa,3.375,4.111,3.333,2.25,1.6
Dwayne Johnson,2.5,2.556,3.667,2.75,2.6
Edsger W. Dijkstra,3.75,3.667,3.778,3.875,4.2
Edward VIII,3.0,3.333,2.778,3.75,3.3
Elena Novikova-Belova,2.625,2.889,3.0,2.75,1.8
Elizabeth I,2.875,2.889,3.222,3.625,3.0
Elizabeth II,3.625,3.778,4.0,2.5,2.5
Elizabeth Taylor,2.875,3.444,2.556,3.125,3.3
Ellen DeGeneres,2.125,3.111,3.444,2.5,2.9
Elon Musk,3.75,3.889,2.667,3.0,2.9
Elvis Presley,3.25,3.778,2.222,2.25,3.3
Eminem,3.75,3.667,2.111,2.125,1.9
Emma Goldman,2.625,2.667,2.667,2.125,2.1
Emma Watson,3.875,3.111,2.333,2.25,2.9
Emmanuel Swedenborg,2.625,2.889,2.889,2.625,3.8
Emmanuelle Charpentier,3.125,3.111,3.444,3.125,3.4
Eusébio,2.0,2.778,4.0,3.0,3.0
F. Sherwood Rowland,3.0,2.333,4.111,2.75,2.9
Federico Fellini,3.0,2.889,2.778,2.75,3.4
Felipe Drugovich,3.25,3.667,2.444,2.5,3.0
Ferdinand Tönnies,3.625,2.222,3.222,3.0,2.6
Filip Jícha,2.75,3.222,4.222,3.0,2.4
Finn E. Kydland,2.25,3.333,2.222,3.625,3.5
Florence Griffith Joyner,3.25,3.0,3.444,4.0,2.8
Florian Munteanu,3.5,2.556,3.556,2.25,2.9
Frank Shorter,3.25,4.333,2.889,2.875,3.4
Frank Sinatra,2.875,3.667,3.222,2.625,3.2
Franklin D. Roosevelt,2.5,3.222,3.333,1.75,3.3
Fred Rogers,3.125,2.889,3.444,2.625,3.3
Freddie Mercury,3.375,2.889,2.333,2.125,2.5
Frederik X of Denmark,3.875,3.111,2.889,3.25,2.2
Gal Gadot,3.125,4.444,2.778,2.625,2.9
Gene Hackman,2.875,4.0,2.444,2.875,2.6
George Biddell Airy,3.0,2.667,3.889,2.375,3.5
George Clooney,2.125,3.0,2.444,1.75,2.6
George E. Smith,3.75,3.222,2.556,2.75,3.0
George H. W. Bush,3.0,3.333,3.889,3.375,2.0
George Harrison,3.125,3.0,3.111,1.375,2.8
George Lucas,2.875,3.778,2.778,2.875,3.6
George Sand,2.625,3.111,2.333,3.875,2.5
George Soros,3.25,3.778,1.778,3.875,3.0
George VI,3.625,3.667,3.0,3.375,3.0
George W. Bush,2.75,2.444,2.889,2.875,2.5
George Washington,2.0,3.667,3.333,2.75,3.2
Georges St-Pierre,3.375,3.0,3.222,2.25,3.0
Gertrude Stein,3.0,4.0,4.0,2.5,2.5
Gherman Titov,2.625,3.333,3.556,3.5,3.2
Gilbert Gottfried,2.125,2.667,2.222,3.5,3.6
Giorgio Parisi,2.625,3.778,3.111,2.625,3.0
Gore Vidal,2.125,2.667,2.556,2.0,3.5
Gottlieb Daimler,2.375,3.333,2.778,3.625,2.8
Guglielmo Marconi,3.75,3.667,4.222,2.25,3.3
Gustaf Dalén,2.75,2.222,2.556,2.5,4.1
Gustave Eiffel,3.0,3.0,3.778,3.75,4.2
Gwyneth Paltrow,3.0,3.111,2.222,3.0,2.2
Hana Mandlíková,3.375,2.667,2.889,3.0,3.3
Hannah Arendt,3.0,3.667,3.111,3.375,3.7
Hans Christian Andersen,3.125,3.778,3.111,1.75,2.4
Hans Geiger,3.5,2.778,4.556,2.375,2.9
Hans Günter Winkler,2.0,3.222,2.333,2.75,2.5
Harrison Schmitt,2.25,3.778,2.556,4.0,3.3
Harry Kroto,3.25,3.778,2.556,2.5,2.7
Haruka Kitaguchi,2.875,3.333,3.222,2.0,3.6
Hary Gunarto,3.375,2.889,3.222,3.75,4.1
Heath Ledger,2.625,2.778,2.778,2.25,3.0
Heide Rosendahl,2.5,3.667,3.667,2.0,2.5
Heidi Klum,2.875,4.111,2.0,3.25,4.2
Heike Kamerlingh Onnes,3.25,3.333,3.0,2.625,3.7
Heinrich Schliemann,3.125,2.111,4.0,2.625,3.3
Henry Ford,3.625,2.667,2.667,3.0,2.4
Henry VIII of England,3.0,3.444,3.778,3.125,3.8
Hilary Duff,3.375,2.333,3.111,2.625,3.6
Hiram Bingham III,3.5,2.889,3.0,2.875,3.4
Howard Hughes,1.625,2.778,2.333,3.375,3.1
Hugh Hefner,3.5,4.111,3.667,3.5,3.9
Ian McEwan,2.875,3.333,2.556,3.125,2.3
Imelda Marcos,2.25,2.778,3.111,3.375,2.7
