Name,source,Item,Itemnum,Answer
Barack Obama,NPP,Is talkative,1,4
Barack Obama,NPP,Tends to find fault with others,2,3
Barack Obama,NPP,Does a thorough job,3,5
Barack Obama,NPP,"Is depressed, blue",4,1
Barack Obama,NPP,"Is original, comes up with new ideas",5,1
Barack Obama,NPP,Is reserved,6,1
Barack Obama,NPP,Is helpful and unselfish with others,7,1
Barack Obama,NPP,Can be somewhat careless,8,5
Barack Obama,NPP,"Is relaxed, handles stress well",9,5
Barack Obama,NPP,Is curious about many different things,10,4
Barack Obama,NPP,Is full of energy,11,3
Barack Obama,NPP,Starts quarrels with others,12,5
Barack Obama,NPP,Is a reliable worker,13,1
Barack Obama,NPP,Can be tense,14,1
Barack Obama,NPP,"Is ingenious, a deep thinker",15,5
Barack Obama,NPP,Generates a lot of enthusiasm,16,4
Barack Obama,NPP,Has a forgiving nature,17,4
Barack Obama,NPP,Tends to be disorganized,18,5
Barack Obama,NPP,Worries a lot,19,1
Barack Obama,NPP,Has an active imagination,20,1
Barack Obama,NPP,Tends to be quiet,21,5
Barack Obama,NPP,Is generally trusting,22,5
Barack Obama,NPP,Tends to be lazy,23,4
Barack Obama,NPP,"Is emotionally stable, not easily upset",24,5
Barack Obama,NPP,Is inventive,25,1
Barack Obama,NPP,Has an assertive personality,26,1
Barack Obama,NPP,Can be cold and aloof,27,3
Barack Obama,NPP,Perseveres until the task is finished,28,5
Barack Obama,NPP,Can be moody,29,1
Barack Obama,NPP,"Values artistic, aesthetic experiences",30,5
Barack Obama,NPP,"Is sometimes shy, inhibited",31,1
Barack Obama,NPP,Is considerate and kind to almost everyone,32,5
Barack Obama,NPP,Does things efficiently,33,1
Barack Obama,NPP,Remains calm in tense situations,34,5
Barack Obama,NPP,Prefers work that is routine,35,4
Barack Obama,NPP,"Is outgoing, sociable",36,1
Barack Obama,NPP,Is sometimes rude to others,37,1
Barack Obama,NPP,Makes plans and follows through with them,38,1
Barack Obama,NPP,Gets nervous easily,39,4
Barack Obama,NPP,"Likes to reflect, play with ideas",40,4
Barack Obama,NPP,Has few artistic interests,41,4
Barack Obama,NPP,Likes to cooperate with others,42,1
Barack Obama,NPP,Is easily distracted,43,4
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",44,1
Nelson Mandela,NPP,Is talkative,1,1
Nelson Mandela,NPP,Tends to find fault with others,2,5
Nelson Mandela,NPP,Does a thorough job,3,5
Nelson Mandela,NPP,"Is depressed, blue",4,1
Nelson Mandela,NPP,"Is original, comes up with new ideas",5,1
Nelson Mandela,NPP,Is reserved,6,4
Nelson Mandela,NPP,Is helpful and unselfish with others,7,5
Nelson Mandela,NPP,Can be somewhat careless,8,1
Nelson Mandela,NPP,"Is relaxed, handles stress well",9,5
Nelson Mandela,NPP,Is curious about many different things,10,4
Nelson Mandela,NPP,Is full of energy,11,1
Nelson Mandela,NPP,Starts quarrels with others,12,4
Nelson Mandela,NPP,Is a reliable worker,13,1
Nelson Mandela,NPP,Can be tense,14,5
Nelson Mandela,NPP,"Is ingenious, a deep thinker",15,4
Nelson Mandela,NPP,Generates a lot of enthusiasm,16,3
Nelson Mandela,NPP,Has a forgiving nature,17,5
Nelson Mandela,NPP,Tends to be disorganized,18,4
Nelson Mandela,NPP,Worries a lot,19,1
Nelson Mandela,NPP,Has an active imagination,20,5
Nelson Mandela,NPP,Tends to be quiet,21,4
Nelson Mandela,NPP,Is generally trusting,22,1
