Name,source,Item,Itemnum,Answer
Osama bin Laden,Terrorist,It's not wise to tell your secrets,1,1
Osama bin Laden,Terrorist,I like to use clever manipulation to get my way,2,5
Osama bin Laden,Terrorist,"Whatever it takes, you must get the important people on your side",3,1
Osama bin Laden,Terrorist,Avoid direct conflict with others because they may be useful in the future,4,5
Osama bin Laden,Terrorist,It's wise to keep track of information that you can use against people later,5,1
Osama bin Laden,Terrorist,You should wait for the right time to get back at people,6,5
Osama bin Laden,Terrorist,There are things you should hide from other people to preserve your reputation,7,4
Osama bin Laden,Terrorist,"Make sure your plans benefit yourself, not others",8,1
Osama bin Laden,Terrorist,Most people can be manipulated,9,4
Osama bin Laden,Terrorist,People see me as a natural leader,10,1
Osama bin Laden,Terrorist,I hate being the center of attention,11,5
Osama bin Laden,Terrorist,Many group activities tend to be dull without me,12,5
Osama bin Laden,Terrorist,I know that I am special because everyone keeps telling me so,13,1
Osama bin Laden,Terrorist,I like to get acquainted with important people,14,5
Osama bin Laden,Terrorist,I feel embarrassed if someone compliments me,15,1
Osama bin Laden,Terrorist,I have been compared to famous people,16,1
Osama bin Laden,Terrorist,I am an average person,17,1
Osama bin Laden,Terrorist,I insist on getting the respect I deserve,18,1
Osama bin Laden,Terrorist,I like to get revenge on authorities,19,4
Osama bin Laden,Terrorist,I avoid dangerous situations,20,4
Osama bin Laden,Terrorist,Payback needs to be quick and nasty,21,1
Osama bin Laden,Terrorist,People often say I'm out of control,22,1
Osama bin Laden,Terrorist,It's true that I can be mean to others,23,3
Osama bin Laden,Terrorist,People who mess with me always regret it,24,4
Osama bin Laden,Terrorist,I have never gotten into trouble with the law,25,1
Osama bin Laden,Terrorist,I enjoy having sex with people I hardly know,26,4
Osama bin Laden,Terrorist,I'll say anything to get what I want,27,3
Abu Bakr al-Baghdadi,Terrorist,It's not wise to tell your secrets,1,5
Abu Bakr al-Baghdadi,Terrorist,I like to use clever manipulation to get my way,2,5
Abu Bakr al-Baghdadi,Terrorist,"Whatever it takes, you must get the important people on your side",3,5
