Name,source,Item,Itemnum,Answer
Osama bin Laden,Terrorist,Is talkative,1,5
Osama bin Laden,Terrorist,Tends to find fault with others,2,2
Osama bin Laden,Terrorist,Does a thorough job,3,4
Osama bin Laden,Terrorist,"Is depressed, blue",4,5
Osama bin Laden,Terrorist,"Is original, comes up with new ideas",5,5
Osama bin Laden,Terrorist,Is reserved,6,5
Osama bin Laden,Terrorist,Is helpful and unselfish with others,7,5
Osama bin Laden,Terrorist,Can be somewhat careless,8,5
Osama bin Laden,Terrorist,"Is relaxed, handles stress well",9,3
Osama bin Laden,Terrorist,Is curious about many different things,10,3
Osama bin Laden,Terrorist,Is full of energy,11,5
Osama bin Laden,Terrorist,Starts quarrels with others,12,3
Osama bin Laden,Terrorist,Is a reliable worker,13,3
Osama bin Laden,Terrorist,Can be tense,14,4
Osama bin Laden,Terrorist,"Is ingenious, a deep thinker",15,4
Osama bin Laden,Terrorist,Generates a lot of enthusiasm,16,5
Osama bin Laden,Terrorist,Has a forgiving nature,17,4
Osama bin Laden,Terrorist,Tends to be disorganized,18,5
Osama bin Laden,Terrorist,Worries a lot,19,3
Osama bin Laden,Terrorist,Has an active imagination,20,3
Osama bin Laden,Terrorist,Tends to be quiet,21,5
Osama bin Laden,Terrorist,Is generally trusting,22,5
Osama bin Laden,Terrorist,Tends to be lazy,23,5
Osama bin Laden,Terrorist,"Is emotionally stable, not easily upset",24,5
Osama bin Laden,Terrorist,Is inventive,25,4
Osama bin Laden,Terrorist,Has an assertive personality,26,5
Osama bin Laden,Terrorist,Can be cold and aloof,27,3
Osama bin Laden,Terrorist,Perseveres until the task is finished,28,5
Osama bin Laden,Terrorist,Can be moody,29,5
Osama bin Laden,Terrorist,"Values artistic, aesthetic experiences",30,5
Osama bin Laden,Terrorist,"Is sometimes shy, inhibited",31,3
Osama bin Laden,Terrorist,Is considerate and kind to almost everyone,32,5
Osama bin Laden,Terrorist,Does things efficiently,33,4
