Name,source,Item,Itemnum,Answer
Barack Obama,NPP,Is talkative,1,3
Barack Obama,NPP,Tends to find fault with others,2,5
Barack Obama,NPP,Does a thorough job,3,5
Barack Obama,NPP,"Is depressed, blue",4,4
Barack Obama,NPP,"Is original, comes up with new ideas",5,5
Barack Obama,NPP,Is reserved,6,1
Barack Obama,NPP,Is helpful and unselfish with others,7,2
Barack Obama,NPP,Can be somewhat careless,8,3
Barack Obama,NPP,"Is relaxed, handles stress well",9,5
Barack Obama,NPP,Is curious about many different things,10,3
Barack Obama,NPP,Is full of energy,11,4
Barack Obama,NPP,Starts quarrels with others,12,2
Barack Obama,NPP,Is a reliable worker,13,5
Barack Obama,NPP,Can be tense,14,5
Barack Obama,NPP,"Is ingenious, a deep thinker",15,5
Barack Obama,NPP,Generates a lot of enthusiasm,16,4
Barack Obama,NPP,Has a forgiving nature,17,5
Barack Obama,NPP,Tends to be disorganized,18,3
Barack Obama,NPP,Worries a lot,19,3
Barack Obama,NPP,Has an active imagination,20,4
Barack Obama,NPP,Tends to be quiet,21,3
Barack Obama,NPP,Is generally trusting,22,3
Barack Obama,NPP,Tends to be lazy,23,5
Barack Obama,NPP,"Is emotionally stable, not easily upset",24,5
Barack Obama,NPP,Is inventive,25,2
Barack Obama,NPP,Has an assertive personality,26,3
Barack Obama,NPP,Can be cold and aloof,27,5
Barack Obama,NPP,Perseveres until the task is finished,28,4
Barack Obama,NPP,Can be moody,29,2
Barack Obama,NPP,"Values artistic, aesthetic experiences",30,5
Barack Obama,NPP,"Is sometimes shy, inhibited",31,5
Barack Obama,NPP,Is considerate and kind to almost everyone,32,5
Barack Obama,NPP,Does things efficiently,33,4
Barack Obama,NPP,Remains calm in tense situations,34,3
Barack Obama,NPP,Prefers work that is routine,35,4
Barack Obama,NPP,"Is outgoing, sociable",36,5
Barack Obama,NPP,Is sometimes rude to others,37,5
Barack Obama,NPP,Makes plans and follows through with them,38,3
Barack Obama,NPP,Gets nervous easily,39,5
Barack Obama,NPP,"Likes to reflect, play with ideas",40,4
Barack Obama,NPP,Has few artistic interests,41,5
Barack Obama,NPP,Likes to cooperate with others,42,5
Barack Obama,NPP,Is easily distracted,43,5
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",44,4
Nelson Mandela,NPP,Is talkative,1,3
Nelson Mandela,NPP,Tends to find fault with others,2,5
Nelson Mandela,NPP,Does a thorough job,3,5
Nelson Mandela,NPP,"Is depressed, blue",4,5
Nelson Mandela,NPP,"Is original, comes up with new ideas",5,5
Nelson Mandela,NPP,Is reserved,6,4
Nelson Mandela,NPP,Is helpful and unselfish with others,7,5
Nelson Mandela,NPP,Can be somewhat careless,8,5
Nelson Mandela,NPP,"Is relaxed, handles stress well",9,5
Nelson Mandela,NPP,Is curious about many different things,10,4
Nelson Mandela,NPP,Is full of energy,11,5
Nelson Mandela,NPP,Starts quarrels with others,12,5
Nelson Mandela,NPP,Is a reliable worker,13,3
Nelson Mandela,NPP,Can be tense,14,5
Nelson Mandela,NPP,"Is ingenious, a deep thinker",15,5
Nelson Mandela,NPP,Generates a lot of enthusiasm,16,5
Nelson Mandela,NPP,Has a forgiving nature,17,5
Nelson Mandela,NPP,Tends to be disorganized,18,5
Nelson Mandela,NPP,Worries a lot,19,3
Nelson Mandela,NPP,Has an active imagination,20,5
Nelson Mandela,NPP,Tends to be quiet,21,5
Nelson Mandela,NPP,Is generally trusting,22,5
Nelson Mandela,NPP,Tends to be lazy,23,5
Nelson Mandela,NPP,"Is emotionally stable, not easily upset",24,5
Nelson Mandela,NPP,Is inventive,25,5
Nelson Mandela,NPP,Has an assertive personality,26,5
Nelson Mandela,NPP,Can be cold and aloof,27,5
Nelson Mandela,NPP,Perseveres until the task is finished,28,5
Nelson Mandela,NPP,Can be moody,29,5
Nelson Mandela,NPP,"Values artistic, aesthetic experiences",30,4
Nelson Mandela,NPP,"Is sometimes shy, inhibited",31,4
Nelson Mandela,NPP,Is considerate and kind to almost everyone,32,5
Nelson Mandela,NPP,Does things efficiently,33,5
Nelson Mandela,NPP,Remains calm in tense situations,34,5
Nelson Mandela,NPP,Prefers work that is routine,35,5
Nelson Mandela,NPP,"Is outgoing, sociable",36,3
Nelson Mandela,NPP,Is sometimes rude to others,37,5
Nelson Mandela,NPP,Makes plans and follows through with them,38,5
Nelson Mandela,NPP,Gets nervous easily,39,2
Nelson Mandela,NPP,"Likes to reflect, play with ideas",40,3
Nelson Mandela,NPP,Has few artistic interests,41,5
Nelson Mandela,NPP,Likes to cooperate with others,42,4
Nelson Mandela,NPP,Is easily distracted,43,5
Nelson Mandela,NPP,"Is sophisticated in art, music, or Literature",44,5
Martin Luther King Jr.,NPP,Is talkative,1,5
Martin Luther King Jr.,NPP,Tends to find fault with others,2,5
Martin Luther King Jr.,NPP,Does a thorough job,3,5
Martin Luther King Jr.,NPP,"Is depressed, blue",4,5
Martin Luther King Jr.,NPP,"Is original, comes up with new ideas",5,3
Martin Luther King Jr.,NPP,Is reserved,6,4
Martin Luther King Jr.,NPP,Is helpful and unselfish with others,7,5
Martin Luther King Jr.,NPP,Can be somewhat careless,8,3
Martin Luther King Jr.,NPP,"Is relaxed, handles stress well",9,3
Martin Luther King Jr.,NPP,Is curious about many different things,10,4
Martin Luther King Jr.,NPP,Is full of energy,11,5
Martin Luther King Jr.,NPP,Starts quarrels with others,12,5
Martin Luther King Jr.,NPP,Is a reliable worker,13,3
Martin Luther King Jr.,NPP,Can be tense,14,3
Martin Luther King Jr.,NPP,"Is ingenious, a deep thinker",15,5
Martin Luther King Jr.,NPP,Generates a lot of enthusiasm,16,5
Martin Luther King Jr.,NPP,Has a forgiving nature,17,5
Martin Luther King Jr.,NPP,Tends to be disorganized,18,2
Martin Luther King Jr.,NPP,Worries a lot,19,5
Martin Luther King Jr.,NPP,Has an active imagination,20,3
Martin Luther King Jr.,NPP,Tends to be quiet,21,3
Martin Luther King Jr.,NPP,Is generally trusting,22,5
Martin Luther King Jr.,NPP,Tends to be lazy,23,5
Martin Luther King Jr.,NPP,"Is emotionally stable, not easily upset",24,2
Martin Luther King Jr.,NPP,Is inventive,25,5
Martin Luther King Jr.,NPP,Has an assertive personality,26,3
Martin Luther King Jr.,NPP,Can be cold and aloof,27,4
Martin Luther King Jr.,NPP,Perseveres until the task is finished,28,5
Martin Luther King Jr.,NPP,Can be moody,29,3
Martin Luther King Jr.,NPP,"Values artistic, aesthetic experiences",30,5
Martin Luther King Jr.,NPP,"Is sometimes shy, inhibited",31,3
Martin Luther King Jr.,NPP,Is considerate and kind to almost everyone,32,5
Martin Luther King Jr.,NPP,Does things efficiently,33,5
Martin Luther King Jr.,NPP,Remains calm in tense situations,34,5
Martin Luther King Jr.,NPP,Prefers work that is routine,35,3
Martin Luther King Jr.,NPP,"Is outgoing, sociable",36,3
Martin Luther King Jr.,NPP,Is sometimes rude to others,37,3
Martin Luther King Jr.,NPP,Makes plans and follows through with them,38,5
Martin Luther King Jr.,NPP,Gets nervous easily,39,5
Martin Luther King Jr.,NPP,"Likes to reflect, play with ideas",40,5
Martin Luther King Jr.,NPP,Has few artistic interests,41,5
Martin Luther King Jr.,NPP,Likes to cooperate with others,42,3
Martin Luther King Jr.,NPP,Is easily distracted,43,4
Martin Luther King Jr.,NPP,"Is sophisticated in art, music, or Literature",44,5
Mikhail Gorbachev,NPP,Is talkative,1,2
Mikhail Gorbachev,NPP,Tends to find fault with others,2,5
Mikhail Gorbachev,NPP,Does a thorough job,3,5
Mikhail Gorbachev,NPP,"Is depressed, blue",4,3
Mikhail Gorbachev,NPP,"Is original, comes up with new ideas",5,4
Mikhail Gorbachev,NPP,Is reserved,6,3
Mikhail Gorbachev,NPP,Is helpful and unselfish with others,7,5
Mikhail Gorbachev,NPP,Can be somewhat careless,8,2
Mikhail Gorbachev,NPP,"Is relaxed, handles stress well",9,3
Mikhail Gorbachev,NPP,Is curious about many different things,10,3
Mikhail Gorbachev,NPP,Is full of energy,11,4
Mikhail Gorbachev,NPP,Starts quarrels with others,12,5
Mikhail Gorbachev,NPP,Is a reliable worker,13,3
Mikhail Gorbachev,NPP,Can be tense,14,5
Mikhail Gorbachev,NPP,"Is ingenious, a deep thinker",15,4
Mikhail Gorbachev,NPP,Generates a lot of enthusiasm,16,4
Mikhail Gorbachev,NPP,Has a forgiving nature,17,5
Mikhail Gorbachev,NPP,Tends to be disorganized,18,5
