Name,source,Item,ItemNum,Answer
Osama bin Laden,Terrorist,is reserved,1,5
Osama bin Laden,Terrorist,is generally trusting,2,1
Osama bin Laden,Terrorist,tends to be lazy,3,1
Osama bin Laden,Terrorist,"is relaxed, handles stress well",4,1
Osama bin Laden,Terrorist,has few artistic interests,5,1
Osama bin Laden,Terrorist,"is outgoing, sociable",6,1
Osama bin Laden,Terrorist,tends to find fault with others,7,1
Osama bin Laden,Terrorist,does a thorough job,8,5
Osama bin Laden,Terrorist,gets nervous easily,9,1
Osama bin Laden,Terrorist,has an active imagination,10,3
Abu Bakr al-Baghdadi,Terrorist,is reserved,1,5
Abu Bakr al-Baghdadi,Terrorist,is generally trusting,2,3
Abu Bakr al-Baghdadi,Terrorist,tends to be lazy,3,1
Abu Bakr al-Baghdadi,Terrorist,"is relaxed, handles stress well",4,3
Abu Bakr al-Baghdadi,Terrorist,has few artistic interests,5,1
Abu Bakr al-Baghdadi,Terrorist,"is outgoing, sociable",6,1
Abu Bakr al-Baghdadi,Terrorist,tends to find fault with others,7,1
Abu Bakr al-Baghdadi,Terrorist,does a thorough job,8,3
Abu Bakr al-Baghdadi,Terrorist,gets nervous easily,9,1
Abu Bakr al-Baghdadi,Terrorist,has an active imagination,10,3
Anders Behring Breivik,Terrorist,is reserved,1,5
Anders Behring Breivik,Terrorist,is generally trusting,2,1
Anders Behring Breivik,Terrorist,tends to be lazy,3,1
Anders Behring Breivik,Terrorist,"is relaxed, handles stress well",4,3
Anders Behring Breivik,Terrorist,has few artistic interests,5,5
Anders Behring Breivik,Terrorist,"is outgoing, sociable",6,1
Anders Behring Breivik,Terrorist,tends to find fault with others,7,5
Anders Behring Breivik,Terrorist,does a thorough job,8,5
Anders Behring Breivik,Terrorist,gets nervous easily,9,3
Anders Behring Breivik,Terrorist,has an active imagination,10,5
Stepan Bandera,Terrorist,is reserved,1,3
Stepan Bandera,Terrorist,is generally trusting,2,3
Stepan Bandera,Terrorist,tends to be lazy,3,1
Stepan Bandera,Terrorist,"is relaxed, handles stress well",4,2
Stepan Bandera,Terrorist,has few artistic interests,5,1
Stepan Bandera,Terrorist,"is outgoing, sociable",6,3
Stepan Bandera,Terrorist,tends to find fault with others,7,3
Stepan Bandera,Terrorist,does a thorough job,8,5
Stepan Bandera,Terrorist,gets nervous easily,9,3
Stepan Bandera,Terrorist,has an active imagination,10,5
Nigel Farage,Terrorist,is reserved,1,3
Nigel Farage,Terrorist,is generally trusting,2,3
Nigel Farage,Terrorist,tends to be lazy,3,1
Nigel Farage,Terrorist,"is relaxed, handles stress well",4,3
Nigel Farage,Terrorist,has few artistic interests,5,3
Nigel Farage,Terrorist,"is outgoing, sociable",6,5
Nigel Farage,Terrorist,tends to find fault with others,7,3
Nigel Farage,Terrorist,does a thorough job,8,4
Nigel Farage,Terrorist,gets nervous easily,9,1
Nigel Farage,Terrorist,has an active imagination,10,3
Ted Kaczynski,Terrorist,is reserved,1,5
Ted Kaczynski,Terrorist,is generally trusting,2,1
Ted Kaczynski,Terrorist,tends to be lazy,3,1
Ted Kaczynski,Terrorist,"is relaxed, handles stress well",4,1
Ted Kaczynski,Terrorist,has few artistic interests,5,1
Ted Kaczynski,Terrorist,"is outgoing, sociable",6,1
Ted Kaczynski,Terrorist,tends to find fault with others,7,5
Ted Kaczynski,Terrorist,does a thorough job,8,5
Ted Kaczynski,Terrorist,gets nervous easily,9,3
Ted Kaczynski,Terrorist,has an active imagination,10,5
Joseph Kony,Terrorist,is reserved,1,3
Joseph Kony,Terrorist,is generally trusting,2,2
Joseph Kony,Terrorist,tends to be lazy,3,3
Joseph Kony,Terrorist,"is relaxed, handles stress well",4,1
Joseph Kony,Terrorist,has few artistic interests,5,3
Joseph Kony,Terrorist,"is outgoing, sociable",6,3
Joseph Kony,Terrorist,tends to find fault with others,7,3
Joseph Kony,Terrorist,does a thorough job,8,4
Joseph Kony,Terrorist,gets nervous easily,9,3
Joseph Kony,Terrorist,has an active imagination,10,3
Carlos the Jackal,Terrorist,is reserved,1,3
Carlos the Jackal,Terrorist,is generally trusting,2,3
Carlos the Jackal,Terrorist,tends to be lazy,3,1
Carlos the Jackal,Terrorist,"is relaxed, handles stress well",4,3
Carlos the Jackal,Terrorist,has few artistic interests,5,3
Carlos the Jackal,Terrorist,"is outgoing, sociable",6,3
Carlos the Jackal,Terrorist,tends to find fault with others,7,3
Carlos the Jackal,Terrorist,does a thorough job,8,5
Carlos the Jackal,Terrorist,gets nervous easily,9,3
Carlos the Jackal,Terrorist,has an active imagination,10,4
Shoko Asahara,Terrorist,is reserved,1,3
Shoko Asahara,Terrorist,is generally trusting,2,3
Shoko Asahara,Terrorist,tends to be lazy,3,3
Shoko Asahara,Terrorist,"is relaxed, handles stress well",4,1
Shoko Asahara,Terrorist,has few artistic interests,5,1
Shoko Asahara,Terrorist,"is outgoing, sociable",6,3
Shoko Asahara,Terrorist,tends to find fault with others,7,3
Shoko Asahara,Terrorist,does a thorough job,8,4
Shoko Asahara,Terrorist,gets nervous easily,9,3
Shoko Asahara,Terrorist,has an active imagination,10,5
Fanny Kaplan,Terrorist,is reserved,1,3
Fanny Kaplan,Terrorist,is generally trusting,2,3
Fanny Kaplan,Terrorist,tends to be lazy,3,3
Fanny Kaplan,Terrorist,"is relaxed, handles stress well",4,2
Fanny Kaplan,Terrorist,has few artistic interests,5,2
Fanny Kaplan,Terrorist,"is outgoing, sociable",6,3
Fanny Kaplan,Terrorist,tends to find fault with others,7,3
Fanny Kaplan,Terrorist,does a thorough job,8,4
Fanny Kaplan,Terrorist,gets nervous easily,9,3
Fanny Kaplan,Terrorist,has an active imagination,10,5
Timothy McVeigh,Terrorist,is reserved,1,3
Timothy McVeigh,Terrorist,is generally trusting,2,2
Timothy McVeigh,Terrorist,tends to be lazy,3,1
Timothy McVeigh,Terrorist,"is relaxed, handles stress well",4,1
Timothy McVeigh,Terrorist,has few artistic interests,5,3
Timothy McVeigh,Terrorist,"is outgoing, sociable",6,1
Timothy McVeigh,Terrorist,tends to find fault with others,7,2
Timothy McVeigh,Terrorist,does a thorough job,8,5
Timothy McVeigh,Terrorist,gets nervous easily,9,1
Timothy McVeigh,Terrorist,has an active imagination,10,1
Khalid Sheikh Mohammed,Terrorist,is reserved,1,3
Khalid Sheikh Mohammed,Terrorist,is generally trusting,2,1
Khalid Sheikh Mohammed,Terrorist,tends to be lazy,3,1
Khalid Sheikh Mohammed,Terrorist,"is relaxed, handles stress well",4,1
Khalid Sheikh Mohammed,Terrorist,has few artistic interests,5,1
Khalid Sheikh Mohammed,Terrorist,"is outgoing, sociable",6,3
Khalid Sheikh Mohammed,Terrorist,tends to find fault with others,7,5
Khalid Sheikh Mohammed,Terrorist,does a thorough job,8,5
