Name,source,Item,ItemNum,Answer
Barack Obama,NPP,is reserved,1,2
Barack Obama,NPP,is generally trusting,2,4
Barack Obama,NPP,tends to be lazy,3,1
Barack Obama,NPP,"is relaxed, handles stress well",4,4
Barack Obama,NPP,has few artistic interests,5,1
Barack Obama,NPP,"is outgoing, sociable",6,5
Barack Obama,NPP,tends to find fault with others,7,1
Barack Obama,NPP,does a thorough job,8,5
Barack Obama,NPP,gets nervous easily,9,2
Barack Obama,NPP,has an active imagination,10,5
Nelson Mandela,NPP,is reserved,1,2
Nelson Mandela,NPP,is generally trusting,2,4
Nelson Mandela,NPP,tends to be lazy,3,1
Nelson Mandela,NPP,"is relaxed, handles stress well",4,4
Nelson Mandela,NPP,has few artistic interests,5,1
Nelson Mandela,NPP,"is outgoing, sociable",6,4
Nelson Mandela,NPP,tends to find fault with others,7,2
Nelson Mandela,NPP,does a thorough job,8,4
Nelson Mandela,NPP,gets nervous easily,9,1
Nelson Mandela,NPP,has an active imagination,10,4
Martin Luther King Jr.,NPP,is reserved,1,1
Martin Luther King Jr.,NPP,is generally trusting,2,5
Martin Luther King Jr.,NPP,tends to be lazy,3,1
Martin Luther King Jr.,NPP,"is relaxed, handles stress well",4,3
Martin Luther King Jr.,NPP,has few artistic interests,5,1
Martin Luther King Jr.,NPP,"is outgoing, sociable",6,4
Martin Luther King Jr.,NPP,tends to find fault with others,7,1
Martin Luther King Jr.,NPP,does a thorough job,8,5
Martin Luther King Jr.,NPP,gets nervous easily,9,2
Martin Luther King Jr.,NPP,has an active imagination,10,5
Mikhail Gorbachev,NPP,is reserved,1,3
Mikhail Gorbachev,NPP,is generally trusting,2,3
Mikhail Gorbachev,NPP,tends to be lazy,3,1
Mikhail Gorbachev,NPP,"is relaxed, handles stress well",4,3
Mikhail Gorbachev,NPP,has few artistic interests,5,3
Mikhail Gorbachev,NPP,"is outgoing, sociable",6,4
Mikhail Gorbachev,NPP,tends to find fault with others,7,2
Mikhail Gorbachev,NPP,does a thorough job,8,5
Mikhail Gorbachev,NPP,gets nervous easily,9,2
Mikhail Gorbachev,NPP,has an active imagination,10,4
Mother Teresa,NPP,is reserved,1,3
Mother Teresa,NPP,is generally trusting,2,4
Mother Teresa,NPP,tends to be lazy,3,2
Mother Teresa,NPP,"is relaxed, handles stress well",4,4
Mother Teresa,NPP,has few artistic interests,5,1
Mother Teresa,NPP,"is outgoing, sociable",6,2
Mother Teresa,NPP,tends to find fault with others,7,1
Mother Teresa,NPP,does a thorough job,8,4
Mother Teresa,NPP,gets nervous easily,9,1
Mother Teresa,NPP,has an active imagination,10,4
Theodore Roosevelt,NPP,is reserved,1,1
Theodore Roosevelt,NPP,is generally trusting,2,4
Theodore Roosevelt,NPP,tends to be lazy,3,1
Theodore Roosevelt,NPP,"is relaxed, handles stress well",4,1
Theodore Roosevelt,NPP,has few artistic interests,5,1
Theodore Roosevelt,NPP,"is outgoing, sociable",6,5
Theodore Roosevelt,NPP,tends to find fault with others,7,2
Theodore Roosevelt,NPP,does a thorough job,8,5
Theodore Roosevelt,NPP,gets nervous easily,9,2
Theodore Roosevelt,NPP,has an active imagination,10,5
Jimmy Carter,NPP,is reserved,1,4
Jimmy Carter,NPP,is generally trusting,2,5
Jimmy Carter,NPP,tends to be lazy,3,1
Jimmy Carter,NPP,"is relaxed, handles stress well",4,5
Jimmy Carter,NPP,has few artistic interests,5,2
Jimmy Carter,NPP,"is outgoing, sociable",6,3
Jimmy Carter,NPP,tends to find fault with others,7,2
Jimmy Carter,NPP,does a thorough job,8,5
Jimmy Carter,NPP,gets nervous easily,9,2
Jimmy Carter,NPP,has an active imagination,10,4
Woodrow Wilson,NPP,is reserved,1,3
Woodrow Wilson,NPP,is generally trusting,2,4
Woodrow Wilson,NPP,tends to be lazy,3,1
Woodrow Wilson,NPP,"is relaxed, handles stress well",4,3
Woodrow Wilson,NPP,has few artistic interests,5,2
Woodrow Wilson,NPP,"is outgoing, sociable",6,4
Woodrow Wilson,NPP,tends to find fault with others,7,3
Woodrow Wilson,NPP,does a thorough job,8,4
Woodrow Wilson,NPP,gets nervous easily,9,3
Woodrow Wilson,NPP,has an active imagination,10,3
Kofi Annan,NPP,is reserved,1,3
Kofi Annan,NPP,is generally trusting,2,4
Kofi Annan,NPP,tends to be lazy,3,2
Kofi Annan,NPP,"is relaxed, handles stress well",4,4
Kofi Annan,NPP,has few artistic interests,5,1
Kofi Annan,NPP,"is outgoing, sociable",6,4
Kofi Annan,NPP,tends to find fault with others,7,2
Kofi Annan,NPP,does a thorough job,8,5
Kofi Annan,NPP,gets nervous easily,9,2
Kofi Annan,NPP,has an active imagination,10,4
Lech Wałęsa,NPP,is reserved,1,2
Lech Wałęsa,NPP,is generally trusting,2,4
Lech Wałęsa,NPP,tends to be lazy,3,1
Lech Wałęsa,NPP,"is relaxed, handles stress well",4,4
Lech Wałęsa,NPP,has few artistic interests,5,3
Lech Wałęsa,NPP,"is outgoing, sociable",6,5
Lech Wałęsa,NPP,tends to find fault with others,7,2
Lech Wałęsa,NPP,does a thorough job,8,5
Lech Wałęsa,NPP,gets nervous easily,9,1
Lech Wałęsa,NPP,has an active imagination,10,4
Tenzin Gyatso,NPP,is reserved,1,2
Tenzin Gyatso,NPP,is generally trusting,2,5
Tenzin Gyatso,NPP,tends to be lazy,3,2
Tenzin Gyatso,NPP,"is relaxed, handles stress well",4,4
Tenzin Gyatso,NPP,has few artistic interests,5,1
Tenzin Gyatso,NPP,"is outgoing, sociable",6,3
Tenzin Gyatso,NPP,tends to find fault with others,7,1
Tenzin Gyatso,NPP,does a thorough job,8,5
Tenzin Gyatso,NPP,gets nervous easily,9,3
Tenzin Gyatso,NPP,has an active imagination,10,5
Aung San Suu Kyi,NPP,is reserved,1,2
Aung San Suu Kyi,NPP,is generally trusting,2,4
Aung San Suu Kyi,NPP,tends to be lazy,3,1
Aung San Suu Kyi,NPP,"is relaxed, handles stress well",4,3
Aung San Suu Kyi,NPP,has few artistic interests,5,1
Aung San Suu Kyi,NPP,"is outgoing, sociable",6,2
Aung San Suu Kyi,NPP,tends to find fault with others,7,2
Aung San Suu Kyi,NPP,does a thorough job,8,5
Aung San Suu Kyi,NPP,gets nervous easily,9,2
Aung San Suu Kyi,NPP,has an active imagination,10,4
Malala Yousafzai,NPP,is reserved,1,2
