Name,source,Item,ItemNum,Answer
Barack Obama,NPP,Is talkative,1,5
Barack Obama,NPP,Tends to find fault with others,2,1
Barack Obama,NPP,Does a thorough job,3,5
Barack Obama,NPP,"Is depressed, blue",4,1
Barack Obama,NPP,"Is original, comes up with new ideas",5,4
Barack Obama,NPP,Is reserved,6,4
Barack Obama,NPP,Is helpful and unselfish with others,7,5
Barack Obama,NPP,Can be somewhat careless,8,1
Barack Obama,NPP,"Is relaxed, handles stress well",9,5
Barack Obama,NPP,Is curious about many different things,10,5
Barack Obama,NPP,Is full of energy,11,4
Barack Obama,NPP,Starts quarrels with others,12,1
Barack Obama,NPP,Is a reliable worker,13,5
Barack Obama,NPP,Can be tense,14,3
Barack Obama,NPP,"Is ingenious, a deep thinker",15,4
Barack Obama,NPP,Generates a lot of enthusiasm,16,5
Barack Obama,NPP,Has a forgiving nature,17,5
Barack Obama,NPP,Tends to be disorganized,18,2
Barack Obama,NPP,Worries a lot,19,2
Barack Obama,NPP,Has an active imagination,20,4
Barack Obama,NPP,Tends to be quiet,21,3
Barack Obama,NPP,Is generally trusting,22,4
Barack Obama,NPP,Tends to be lazy,23,1
Barack Obama,NPP,"Is emotionally stable, not easily upset",24,4
Barack Obama,NPP,Is inventive,25,4
Barack Obama,NPP,Has an assertive personality,26,4
Barack Obama,NPP,Can be cold and aloof,27,1
Barack Obama,NPP,Perseveres until the task is finished,28,5
Barack Obama,NPP,Can be moody,29,3
Barack Obama,NPP,"Values artistic, aesthetic experiences",30,4
Barack Obama,NPP,"Is sometimes shy, inhibited",31,3
Barack Obama,NPP,Is considerate and kind to almost everyone,32,5
Barack Obama,NPP,Does things efficiently,33,4
Barack Obama,NPP,Remains calm in tense situations,34,5
Barack Obama,NPP,Prefers work that is routine,35,2
Barack Obama,NPP,"Is outgoing, sociable",36,4
Barack Obama,NPP,Is sometimes rude to others,37,1
Barack Obama,NPP,Makes plans and follows through with them,38,5
Barack Obama,NPP,Gets nervous easily,39,2
Barack Obama,NPP,"Likes to reflect, play with ideas",40,5
Barack Obama,NPP,Has few artistic interests,41,3
Barack Obama,NPP,Likes to cooperate with others,42,5
Barack Obama,NPP,Is easily distracted,43,4
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",44,4
Nelson Mandela,NPP,Is talkative,1,5
Nelson Mandela,NPP,Tends to find fault with others,2,1
Nelson Mandela,NPP,Does a thorough job,3,4
Nelson Mandela,NPP,"Is depressed, blue",4,2
Nelson Mandela,NPP,"Is original, comes up with new ideas",5,5
Nelson Mandela,NPP,Is reserved,6,4
Nelson Mandela,NPP,Is helpful and unselfish with others,7,5
Nelson Mandela,NPP,Can be somewhat careless,8,1
Nelson Mandela,NPP,"Is relaxed, handles stress well",9,4
Nelson Mandela,NPP,Is curious about many different things,10,5
Nelson Mandela,NPP,Is full of energy,11,5
Nelson Mandela,NPP,Starts quarrels with others,12,1
Nelson Mandela,NPP,Is a reliable worker,13,5
Nelson Mandela,NPP,Can be tense,14,2
Nelson Mandela,NPP,"Is ingenious, a deep thinker",15,5
Nelson Mandela,NPP,Generates a lot of enthusiasm,16,4
Nelson Mandela,NPP,Has a forgiving nature,17,5
Nelson Mandela,NPP,Tends to be disorganized,18,2
Nelson Mandela,NPP,Worries a lot,19,1
Nelson Mandela,NPP,Has an active imagination,20,4
Nelson Mandela,NPP,Tends to be quiet,21,2
Nelson Mandela,NPP,Is generally trusting,22,5
Nelson Mandela,NPP,Tends to be lazy,23,1
Nelson Mandela,NPP,"Is emotionally stable, not easily upset",24,4
Nelson Mandela,NPP,Is inventive,25,4
Nelson Mandela,NPP,Has an assertive personality,26,5
Nelson Mandela,NPP,Can be cold and aloof,27,2
Nelson Mandela,NPP,Perseveres until the task is finished,28,5
Nelson Mandela,NPP,Can be moody,29,2
Nelson Mandela,NPP,"Values artistic, aesthetic experiences",30,3
Nelson Mandela,NPP,"Is sometimes shy, inhibited",31,2
Nelson Mandela,NPP,Is considerate and kind to almost everyone,32,5
Nelson Mandela,NPP,Does things efficiently,33,4
Nelson Mandela,NPP,Remains calm in tense situations,34,5
Nelson Mandela,NPP,Prefers work that is routine,35,2
Nelson Mandela,NPP,"Is outgoing, sociable",36,5
Nelson Mandela,NPP,Is sometimes rude to others,37,1
Nelson Mandela,NPP,Makes plans and follows through with them,38,5
Nelson Mandela,NPP,Gets nervous easily,39,1
Nelson Mandela,NPP,"Likes to reflect, play with ideas",40,5
Nelson Mandela,NPP,Has few artistic interests,41,2
Nelson Mandela,NPP,Likes to cooperate with others,42,5
Nelson Mandela,NPP,Is easily distracted,43,2
Nelson Mandela,NPP,"Is sophisticated in art, music, or Literature",44,4
Martin Luther King Jr.,NPP,Is talkative,1,5
Martin Luther King Jr.,NPP,Tends to find fault with others,2,1
Martin Luther King Jr.,NPP,Does a thorough job,3,5
Martin Luther King Jr.,NPP,"Is depressed, blue",4,2
Martin Luther King Jr.,NPP,"Is original, comes up with new ideas",5,5
Martin Luther King Jr.,NPP,Is reserved,6,4
Martin Luther King Jr.,NPP,Is helpful and unselfish with others,7,5
Martin Luther King Jr.,NPP,Can be somewhat careless,8,1
Martin Luther King Jr.,NPP,"Is relaxed, handles stress well",9,3
Martin Luther King Jr.,NPP,Is curious about many different things,10,5
Martin Luther King Jr.,NPP,Is full of energy,11,2
Martin Luther King Jr.,NPP,Starts quarrels with others,12,1
Martin Luther King Jr.,NPP,Is a reliable worker,13,4
Martin Luther King Jr.,NPP,Can be tense,14,4
Martin Luther King Jr.,NPP,"Is ingenious, a deep thinker",15,4
Martin Luther King Jr.,NPP,Generates a lot of enthusiasm,16,5
Martin Luther King Jr.,NPP,Has a forgiving nature,17,5
Martin Luther King Jr.,NPP,Tends to be disorganized,18,1
Martin Luther King Jr.,NPP,Worries a lot,19,3
Martin Luther King Jr.,NPP,Has an active imagination,20,4
Martin Luther King Jr.,NPP,Tends to be quiet,21,1
Martin Luther King Jr.,NPP,Is generally trusting,22,4
Martin Luther King Jr.,NPP,Tends to be lazy,23,1
Martin Luther King Jr.,NPP,"Is emotionally stable, not easily upset",24,5
Martin Luther King Jr.,NPP,Is inventive,25,3
Martin Luther King Jr.,NPP,Has an assertive personality,26,5
Martin Luther King Jr.,NPP,Can be cold and aloof,27,2
Martin Luther King Jr.,NPP,Perseveres until the task is finished,28,5
Martin Luther King Jr.,NPP,Can be moody,29,2
Martin Luther King Jr.,NPP,"Values artistic, aesthetic experiences",30,3
Martin Luther King Jr.,NPP,"Is sometimes shy, inhibited",31,4
Martin Luther King Jr.,NPP,Is considerate and kind to almost everyone,32,5
Martin Luther King Jr.,NPP,Does things efficiently,33,3
Martin Luther King Jr.,NPP,Remains calm in tense situations,34,4
Martin Luther King Jr.,NPP,Prefers work that is routine,35,1
Martin Luther King Jr.,NPP,"Is outgoing, sociable",36,5
Martin Luther King Jr.,NPP,Is sometimes rude to others,37,1
Martin Luther King Jr.,NPP,Makes plans and follows through with them,38,4
Martin Luther King Jr.,NPP,Gets nervous easily,39,2
Martin Luther King Jr.,NPP,"Likes to reflect, play with ideas",40,4
Martin Luther King Jr.,NPP,Has few artistic interests,41,1
Martin Luther King Jr.,NPP,Likes to cooperate with others,42,5
Martin Luther King Jr.,NPP,Is easily distracted,43,3
Martin Luther King Jr.,NPP,"Is sophisticated in art, music, or Literature",44,4
Mikhail Gorbachev,NPP,Is talkative,1,5
Mikhail Gorbachev,NPP,Tends to find fault with others,2,2
Mikhail Gorbachev,NPP,Does a thorough job,3,5
Mikhail Gorbachev,NPP,"Is depressed, blue",4,3
Mikhail Gorbachev,NPP,"Is original, comes up with new ideas",5,5
Mikhail Gorbachev,NPP,Is reserved,6,4
Mikhail Gorbachev,NPP,Is helpful and unselfish with others,7,5
Mikhail Gorbachev,NPP,Can be somewhat careless,8,2
Mikhail Gorbachev,NPP,"Is relaxed, handles stress well",9,4
Mikhail Gorbachev,NPP,Is curious about many different things,10,5
Mikhail Gorbachev,NPP,Is full of energy,11,3
Mikhail Gorbachev,NPP,Starts quarrels with others,12,2
Mikhail Gorbachev,NPP,Is a reliable worker,13,5
Mikhail Gorbachev,NPP,Can be tense,14,4
Mikhail Gorbachev,NPP,"Is ingenious, a deep thinker",15,4
Mikhail Gorbachev,NPP,Generates a lot of enthusiasm,16,3
Mikhail Gorbachev,NPP,Has a forgiving nature,17,5
Mikhail Gorbachev,NPP,Tends to be disorganized,18,3
Mikhail Gorbachev,NPP,Worries a lot,19,4
Mikhail Gorbachev,NPP,Has an active imagination,20,3
Mikhail Gorbachev,NPP,Tends to be quiet,21,3
Mikhail Gorbachev,NPP,Is generally trusting,22,5
Mikhail Gorbachev,NPP,Tends to be lazy,23,2
Mikhail Gorbachev,NPP,"Is emotionally stable, not easily upset",24,4
Mikhail Gorbachev,NPP,Is inventive,25,5
Mikhail Gorbachev,NPP,Has an assertive personality,26,4
Mikhail Gorbachev,NPP,Can be cold and aloof,27,4
Mikhail Gorbachev,NPP,Perseveres until the task is finished,28,5
Mikhail Gorbachev,NPP,Can be moody,29,4
Mikhail Gorbachev,NPP,"Values artistic, aesthetic experiences",30,2
Mikhail Gorbachev,NPP,"Is sometimes shy, inhibited",31,4
Mikhail Gorbachev,NPP,Is considerate and kind to almost everyone,32,4
Mikhail Gorbachev,NPP,Does things efficiently,33,4
Mikhail Gorbachev,NPP,Remains calm in tense situations,34,5
Mikhail Gorbachev,NPP,Prefers work that is routine,35,2
Mikhail Gorbachev,NPP,"Is outgoing, sociable",36,4
Mikhail Gorbachev,NPP,Is sometimes rude to others,37,2
Mikhail Gorbachev,NPP,Makes plans and follows through with them,38,4
Mikhail Gorbachev,NPP,Gets nervous easily,39,4
Mikhail Gorbachev,NPP,"Likes to reflect, play with ideas",40,5
Mikhail Gorbachev,NPP,Has few artistic interests,41,4
Mikhail Gorbachev,NPP,Likes to cooperate with others,42,5
Mikhail Gorbachev,NPP,Is easily distracted,43,3
Mikhail Gorbachev,NPP,"Is sophisticated in art, music, or Literature",44,3
Mother Teresa,NPP,Is talkative,1,2
Mother Teresa,NPP,Tends to find fault with others,2,1
Mother Teresa,NPP,Does a thorough job,3,4
Mother Teresa,NPP,"Is depressed, blue",4,2
Mother Teresa,NPP,"Is original, comes up with new ideas",5,4
Mother Teresa,NPP,Is reserved,6,3
Mother Teresa,NPP,Is helpful and unselfish with others,7,5
Mother Teresa,NPP,Can be somewhat careless,8,1
Mother Teresa,NPP,"Is relaxed, handles stress well",9,4
Mother Teresa,NPP,Is curious about many different things,10,3
Mother Teresa,NPP,Is full of energy,11,2
Mother Teresa,NPP,Starts quarrels with others,12,1
Mother Teresa,NPP,Is a reliable worker,13,4
Mother Teresa,NPP,Can be tense,14,2
Mother Teresa,NPP,"Is ingenious, a deep thinker",15,3
Mother Teresa,NPP,Generates a lot of enthusiasm,16,4
Mother Teresa,NPP,Has a forgiving nature,17,5
Mother Teresa,NPP,Tends to be disorganized,18,2
Mother Teresa,NPP,Worries a lot,19,1
Mother Teresa,NPP,Has an active imagination,20,3
Mother Teresa,NPP,Tends to be quiet,21,4
Mother Teresa,NPP,Is generally trusting,22,5
Mother Teresa,NPP,Tends to be lazy,23,1
Mother Teresa,NPP,"Is emotionally stable, not easily upset",24,5
Mother Teresa,NPP,Is inventive,25,2
Mother Teresa,NPP,Has an assertive personality,26,2
Mother Teresa,NPP,Can be cold and aloof,27,1
Mother Teresa,NPP,Perseveres until the task is finished,28,5
Mother Teresa,NPP,Can be moody,29,2
Mother Teresa,NPP,"Values artistic, aesthetic experiences",30,3
Mother Teresa,NPP,"Is sometimes shy, inhibited",31,1
Mother Teresa,NPP,Is considerate and kind to almost everyone,32,5
Mother Teresa,NPP,Does things efficiently,33,2
Mother Teresa,NPP,Remains calm in tense situations,34,5
Mother Teresa,NPP,Prefers work that is routine,35,1
Mother Teresa,NPP,"Is outgoing, sociable",36,2
Mother Teresa,NPP,Is sometimes rude to others,37,1
Mother Teresa,NPP,Makes plans and follows through with them,38,2
Mother Teresa,NPP,Gets nervous easily,39,2
Mother Teresa,NPP,"Likes to reflect, play with ideas",40,3
Mother Teresa,NPP,Has few artistic interests,41,3
Mother Teresa,NPP,Likes to cooperate with others,42,5
Mother Teresa,NPP,Is easily distracted,43,2
Mother Teresa,NPP,"Is sophisticated in art, music, or Literature",44,2
Theodore Roosevelt,NPP,Is talkative,1,2
Theodore Roosevelt,NPP,Tends to find fault with others,2,2
Theodore Roosevelt,NPP,Does a thorough job,3,5
Theodore Roosevelt,NPP,"Is depressed, blue",4,1
Theodore Roosevelt,NPP,"Is original, comes up with new ideas",5,5
Theodore Roosevelt,NPP,Is reserved,6,1
Theodore Roosevelt,NPP,Is helpful and unselfish with others,7,5
Theodore Roosevelt,NPP,Can be somewhat careless,8,2
Theodore Roosevelt,NPP,"Is relaxed, handles stress well",9,2
Theodore Roosevelt,NPP,Is curious about many different things,10,5
Theodore Roosevelt,NPP,Is full of energy,11,5
Theodore Roosevelt,NPP,Starts quarrels with others,12,2
Theodore Roosevelt,NPP,Is a reliable worker,13,5
Theodore Roosevelt,NPP,Can be tense,14,2
Theodore Roosevelt,NPP,"Is ingenious, a deep thinker",15,5
Theodore Roosevelt,NPP,Generates a lot of enthusiasm,16,5
Theodore Roosevelt,NPP,Has a forgiving nature,17,2
Theodore Roosevelt,NPP,Tends to be disorganized,18,1
Theodore Roosevelt,NPP,Worries a lot,19,1
Theodore Roosevelt,NPP,Has an active imagination,20,5
Theodore Roosevelt,NPP,Tends to be quiet,21,1
Theodore Roosevelt,NPP,Is generally trusting,22,4
Theodore Roosevelt,NPP,Tends to be lazy,23,1
Theodore Roosevelt,NPP,"Is emotionally stable, not easily upset",24,5
Theodore Roosevelt,NPP,Is inventive,25,5
Theodore Roosevelt,NPP,Has an assertive personality,26,5
Theodore Roosevelt,NPP,Can be cold and aloof,27,2
Theodore Roosevelt,NPP,Perseveres until the task is finished,28,5
Theodore Roosevelt,NPP,Can be moody,29,1
Theodore Roosevelt,NPP,"Values artistic, aesthetic experiences",30,2
Theodore Roosevelt,NPP,"Is sometimes shy, inhibited",31,2
Theodore Roosevelt,NPP,Is considerate and kind to almost everyone,32,5
Theodore Roosevelt,NPP,Does things efficiently,33,4
Theodore Roosevelt,NPP,Remains calm in tense situations,34,5
Theodore Roosevelt,NPP,Prefers work that is routine,35,1
Theodore Roosevelt,NPP,"Is outgoing, sociable",36,5
Theodore Roosevelt,NPP,Is sometimes rude to others,37,1
Theodore Roosevelt,NPP,Makes plans and follows through with them,38,5
Theodore Roosevelt,NPP,Gets nervous easily,39,2
Theodore Roosevelt,NPP,"Likes to reflect, play with ideas",40,2
Theodore Roosevelt,NPP,Has few artistic interests,41,3
Theodore Roosevelt,NPP,Likes to cooperate with others,42,5
Theodore Roosevelt,NPP,Is easily distracted,43,2
