Barack Obama,is reserved,1,4
Barack Obama,is generally trusting,2,4
Barack Obama,tends to be lazy,3,2
Barack Obama,"is relaxed, handles stress well",4,3
Barack Obama,has few artistic interests,5,4
Barack Obama,"is outgoing, sociable",6,5
Barack Obama,tends to find fault with others,7,2
Barack Obama,does a thorough job,8,5
Barack Obama,gets nervous easily,9,2
Barack Obama,has an active imagination,10,4
Nelson Mandela,is reserved,1,2
Nelson Mandela,is generally trusting,2,5
Nelson Mandela,tends to be lazy,3,3
Nelson Mandela,"is relaxed, handles stress well",4,3
Nelson Mandela,has few artistic interests,5,5
Nelson Mandela,"is outgoing, sociable",6,5
Nelson Mandela,tends to find fault with others,7,2
Nelson Mandela,does a thorough job,8,5
Nelson Mandela,gets nervous easily,9,3
Nelson Mandela,has an active imagination,10,5
Martin Luther King Jr.,is reserved,1,5
Martin Luther King Jr.,is generally trusting,2,5
Martin Luther King Jr.,tends to be lazy,3,3
Martin Luther King Jr.,"is relaxed, handles stress well",4,2
Martin Luther King Jr.,has few artistic interests,5,5
Martin Luther King Jr.,"is outgoing, sociable",6,5
Martin Luther King Jr.,tends to find fault with others,7,5
Martin Luther King Jr.,does a thorough job,8,5
Martin Luther King Jr.,gets nervous easily,9,5
Martin Luther King Jr.,has an active imagination,10,5
Mikhail Gorbachev,is reserved,1,4
Mikhail Gorbachev,is generally trusting,2,3
Mikhail Gorbachev,tends to be lazy,3,3
Mikhail Gorbachev,"is relaxed, handles stress well",4,3
Mikhail Gorbachev,has few artistic interests,5,3
Mikhail Gorbachev,"is outgoing, sociable",6,3
Mikhail Gorbachev,tends to find fault with others,7,2
Mikhail Gorbachev,does a thorough job,8,5
Mikhail Gorbachev,gets nervous easily,9,2
Mikhail Gorbachev,has an active imagination,10,5
Osama bin Laden,is reserved,1,4
Osama bin Laden,is generally trusting,2,5
Osama bin Laden,"is relaxed, handles stress well",3,5
Osama bin Laden,has few artistic interests,4,5
Osama bin Laden,"is outgoing, sociable",5,1
Osama bin Laden,gets nervous easily,6,5
Abu Bakr al-Baghdadi,is reserved,1,5
Abu Bakr al-Baghdadi,is generally trusting,2,5
Abu Bakr al-Baghdadi,tends to be lazy,3,5
Abu Bakr al-Baghdadi,"is relaxed, handles stress well",4,5
Abu Bakr al-Baghdadi,has few artistic interests,5,5
Abu Bakr al-Baghdadi,tends to find fault with others,6,5
Abu Bakr al-Baghdadi,gets nervous easily,7,5
Abu Bakr al-Baghdadi,has an active imagination,8,5
Anders Behring Breivik,is reserved,1,5
Anders Behring Breivik,is generally trusting,2,1
Anders Behring Breivik,"is relaxed, handles stress well",3,1
Anders Behring Breivik,has few artistic interests,4,5
Anders Behring Breivik,"is outgoing, sociable",5,1
Anders Behring Breivik,tends to find fault with others,6,5
Anders Behring Breivik,does a thorough job,7,5
Anders Behring Breivik,gets nervous easily,8,1
Anders Behring Breivik,has an active imagination,9,5
Pablo Escobar,is reserved,1,5
Pablo Escobar,is generally trusting,2,5
Pablo Escobar,tends to be lazy,3,5
Pablo Escobar,"is relaxed, handles stress well",4,5
Pablo Escobar,has few artistic interests,5,5
Pablo Escobar,"is outgoing, sociable",6,5
Pablo Escobar,tends to find fault with others,7,2
Pablo Escobar,does a thorough job,8,5
Pablo Escobar,gets nervous easily,9,5
Pablo Escobar,has an active imagination,10,5
Al Capone,is reserved,1,5
Al Capone,is generally trusting,2,5
Al Capone,tends to be lazy,3,5
Al Capone,"is relaxed, handles stress well",4,5
Al Capone,has few artistic interests,5,5
Al Capone,"is outgoing, sociable",6,5
Al Capone,tends to find fault with others,7,4
Al Capone,does a thorough job,8,5
Al Capone,gets nervous easily,9,5
Al Capone,has an active imagination,10,5
Michael Jackson,is reserved,1,5
Michael Jackson,is generally trusting,2,4
Michael Jackson,tends to be lazy,3,2
Michael Jackson,"is relaxed, handles stress well",4,5
Michael Jackson,has few artistic interests,5,5
Michael Jackson,"is outgoing, sociable",6,4
Michael Jackson,tends to find fault with others,7,2
Michael Jackson,does a thorough job,8,5
Michael Jackson,gets nervous easily,9,5
Michael Jackson,has an active imagination,10,5
Ronald Reagan,is reserved,1,4
Ronald Reagan,is generally trusting,2,4
Ronald Reagan,tends to be lazy,3,5
Ronald Reagan,"is relaxed, handles stress well",4,5
Ronald Reagan,has few artistic interests,5,2
Ronald Reagan,"is outgoing, sociable",6,5
Ronald Reagan,tends to find fault with others,7,2
Ronald Reagan,does a thorough job,8,5
Ronald Reagan,gets nervous easily,9,5
Ronald Reagan,has an active imagination,10,4
Charlie Chaplin,is reserved,1,2
Charlie Chaplin,is generally trusting,2,3
Charlie Chaplin,tends to be lazy,3,4
Charlie Chaplin,"is relaxed, handles stress well",4,2
Charlie Chaplin,has few artistic interests,5,5
Charlie Chaplin,"is outgoing, sociable",6,3
Charlie Chaplin,tends to find fault with others,7,2
Charlie Chaplin,does a thorough job,8,4
Charlie Chaplin,gets nervous easily,9,4
Charlie Chaplin,has an active imagination,10,5
Hans Christian Andersen,is reserved,1,5
Hans Christian Andersen,is generally trusting,2,4
Hans Christian Andersen,tends to be lazy,3,3
Hans Christian Andersen,"is relaxed, handles stress well",4,3
Hans Christian Andersen,has few artistic interests,5,5
Hans Christian Andersen,"is outgoing, sociable",6,2
Hans Christian Andersen,tends to find fault with others,7,5
Hans Christian Andersen,does a thorough job,8,4
Hans Christian Andersen,gets nervous easily,9,3
Hans Christian Andersen,has an active imagination,10,5
Charles Dickens,is reserved,1,4
Charles Dickens,is generally trusting,2,4
Charles Dickens,tends to be lazy,3,4
Charles Dickens,"is relaxed, handles stress well",4,2
Charles Dickens,has few artistic interests,5,2
Charles Dickens,"is outgoing, sociable",6,5
Charles Dickens,tends to find fault with others,7,5
Charles Dickens,does a thorough job,8,5
Charles Dickens,gets nervous easily,9,2
Charles Dickens,has an active imagination,10,5
Alexander Pushkin,is reserved,1,3
Alexander Pushkin,is generally trusting,2,4
Alexander Pushkin,tends to be lazy,3,3
Alexander Pushkin,"is relaxed, handles stress well",4,3
Alexander Pushkin,has few artistic interests,5,5
Alexander Pushkin,"is outgoing, sociable",6,3
Alexander Pushkin,tends to find fault with others,7,3
Alexander Pushkin,does a thorough job,8,4
Alexander Pushkin,gets nervous easily,9,3
Alexander Pushkin,has an active imagination,10,5
