ID,Name,DoB,count,source
http://www.wikidata.org/entity/Q1317,Osama bin Laden,1957-03-10 00:00:00+00:00,168.0,Terrorist
http://www.wikidata.org/entity/Q2821724,Abu Bakr al-Baghdadi,1971-07-28 00:00:00+00:00,94.0,Terrorist
http://www.wikidata.org/entity/Q44220,Anders Behring Breivik,1979-02-13 00:00:00+00:00,90.0,Terrorist
http://www.wikidata.org/entity/Q157280,Stepan Bandera,1909-01-01 00:00:00+00:00,76.0,Terrorist
http://www.wikidata.org/entity/Q318471,Nigel Farage,1964-04-03 00:00:00+00:00,73.0,Terrorist
http://www.wikidata.org/entity/Q222134,Ted Kaczynski,1942-05-22 00:00:00+00:00,72.0,Terrorist
http://www.wikidata.org/entity/Q104419,Joseph Kony,1961-01-01 00:00:00+00:00,53.0,Terrorist
http://www.wikidata.org/entity/Q222831,Carlos the Jackal,1949-10-12 00:00:00+00:00,47.0,Terrorist
http://www.wikidata.org/entity/Q311669,Shoko Asahara,1955-03-02 00:00:00+00:00,47.0,Terrorist
http://www.wikidata.org/entity/Q139696,Fanny Kaplan,1890-02-10 00:00:00+00:00,45.0,Terrorist
http://www.wikidata.org/entity/Q220850,Timothy McVeigh,1968-04-23 00:00:00+00:00,45.0,Terrorist
http://www.wikidata.org/entity/Q319068,Khalid Sheikh Mohammed,1964-03-01 00:00:00+00:00,45.0,Terrorist
http://www.wikidata.org/entity/Q204016,Velupillai Prabhakaran,1954-11-26 00:00:00+00:00,44.0,Terrorist
http://www.wikidata.org/entity/Q22690797,Yahya Sinwar,1962-10-29 00:00:00+00:00,41.0,Terrorist
http://www.wikidata.org/entity/Q76870,Andreas Baader,1943-05-06 00:00:00+00:00,40.0,Terrorist
http://www.wikidata.org/entity/Q110067,Mohamed Atta,1968-09-01 00:00:00+00:00,37.0,Terrorist
http://www.wikidata.org/entity/Q381859,Boris Savinkov,1879-01-31 00:00:00+00:00,34.0,Terrorist
http://www.wikidata.org/entity/Q21503533,Salah Abdeslam,1989-09-15 00:00:00+00:00,34.0,Terrorist
http://www.wikidata.org/entity/Q65123,Gudrun Ensslin,1940-08-15 00:00:00+00:00,33.0,Terrorist
http://www.wikidata.org/entity/Q317709,Luigi Lucheni,1873-04-22 00:00:00+00:00,32.0,Terrorist
http://www.wikidata.org/entity/Q369998,Ramzi Yousef,1967-05-20 00:00:00+00:00,28.0,Terrorist
http://www.wikidata.org/entity/Q482413,An Jung-geun,1879-09-02 00:00:00+00:00,28.0,Terrorist
http://www.wikidata.org/entity/Q553191,Dawood Ibrahim,1955-12-26 00:00:00+00:00,28.0,Terrorist
http://www.wikidata.org/entity/Q171930,Yevno Azef,1869-01-01 00:00:00+00:00,27.0,Terrorist
http://www.wikidata.org/entity/Q461846,Avraham Stern,1907-12-23 00:00:00+00:00,27.0,Terrorist
http://www.wikidata.org/entity/Q467961,Assata Shakur,1947-07-16 00:00:00+00:00,25.0,Terrorist
http://www.wikidata.org/entity/Q21499517,Abdelhamid Abaaoud,1987-04-08 00:00:00+00:00,25.0,Terrorist
http://www.wikidata.org/entity/Q1336472,Joseph Paul Franklin,1950-04-13 00:00:00+00:00,22.0,Terrorist
http://www.wikidata.org/entity/Q1353499,Otelo Saraiva de Carvalho,1936-08-31 00:00:00+00:00,22.0,Terrorist
http://www.wikidata.org/entity/Q700838,Marwan al-Shehhi,1978-05-09 00:00:00+00:00,21.0,Terrorist
http://www.wikidata.org/entity/Q1111411,Rodolfo Walsh,1927-01-09 00:00:00+00:00,20.0,Terrorist
http://www.wikidata.org/entity/Q317494,Abdulaziz al-Omari,1979-05-28 00:00:00+00:00,20.0,Terrorist
http://www.wikidata.org/entity/Q335246,Abu Qatada,1960-07-01 00:00:00+00:00,20.0,Terrorist
http://www.wikidata.org/entity/Q510981,Khalil al-Wazir,1935-10-10 00:00:00+00:00,20.0,Terrorist
http://www.wikidata.org/entity/Q2414493,Wail al-Shehri,1973-07-31 00:00:00+00:00,19.0,Terrorist
http://www.wikidata.org/entity/Q2529866,Waleed al-Shehri,1978-12-20 00:00:00+00:00,19.0,Terrorist
http://www.wikidata.org/entity/Q4525679,Yasin Malik,1966-04-03 00:00:00+00:00,19.0,Terrorist
http://www.wikidata.org/entity/Q504467,Luis Posada Carriles,1928-02-15 00:00:00+00:00,19.0,Terrorist
http://www.wikidata.org/entity/Q623326,Aquilino Ribeiro,1885-09-13 00:00:00+00:00,19.0,Terrorist
http://www.wikidata.org/entity/Q308283,Abdolmalek Rigi,1979-01-01 00:00:00+00:00,18.0,Terrorist
http://www.wikidata.org/entity/Q721177,Peter Arshinov,1887-01-01 00:00:00+00:00,18.0,Terrorist
http://www.wikidata.org/entity/Q18193736,Abu Ali al-Anbari,1959-10-01 00:00:00+00:00,18.0,Terrorist
http://www.wikidata.org/entity/Q1372194,Stefano Delle Chiaie,1936-09-13 00:00:00+00:00,17.0,Terrorist
http://www.wikidata.org/entity/Q1758581,Mario Moretti,1946-01-16 00:00:00+00:00,17.0,Terrorist
http://www.wikidata.org/entity/Q2415488,Ignacy Hryniewiecki,1856-06-17 00:00:00+00:00,17.0,Terrorist
http://www.wikidata.org/entity/Q513250,Eric Rudolph,1966-09-19 00:00:00+00:00,17.0,Terrorist
http://www.wikidata.org/entity/Q546520,Sergey Stepnyak-Kravchinsky,1851-07-13 00:00:00+00:00,17.0,Terrorist
http://www.wikidata.org/entity/Q11835959,Dzhokhar Tsarnaev,1993-07-22 00:00:00+00:00,16.0,Terrorist
http://www.wikidata.org/entity/Q1358406,Renato Curcio,1941-09-23 00:00:00+00:00,15.0,Terrorist
http://www.wikidata.org/entity/Q2702005,Fayez Banihammad,1977-03-19 00:00:00+00:00,15.0,Terrorist
http://www.wikidata.org/entity/Q7402658,Sajida Mubarak Atrous al-Rishawi,1970-03-01 00:00:00+00:00,15.0,Terrorist
http://www.wikidata.org/entity/Q470722,Noordin Mohammad Top,1968-08-11 00:00:00+00:00,15.0,Terrorist
http://www.wikidata.org/entity/Q983843,Umar Farouk Abdulmutallab,1986-12-22 00:00:00+00:00,15.0,Terrorist
http://www.wikidata.org/entity/Q1056753,Cesare Battisti,1954-12-18 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q1755972,Stepan Khalturin,1857-01-02 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q2719766,Khalid al-Mihdhar,1975-05-16 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q2821436,Abdullah Ahmed Abdullah,1963-01-01 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q659976,Ramzi bin al-Shibh,1972-05-01 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q813212,Beate Zschäpe,1975-01-02 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q18193734,Abu Muslim al-Turkmani,1959-01-01 00:00:00+00:00,14.0,Terrorist
http://www.wikidata.org/entity/Q1354768,Terry Nichols,1955-04-01 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q2005398,Nur-Pashi Kulayev,1980-10-28 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q3493692,Ahmed al-Nami,1977-12-07 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q6783838,Masood Azhar,1968-07-10 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q922708,Bruce Edwards Ivins,1946-04-22 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q25905081,Mohamed Lahouaiej-Bouhlel,1985-01-03 00:00:00+00:00,13.0,Terrorist
http://www.wikidata.org/entity/Q1679623,Yakov Blumkin,1898-01-01 00:00:00+00:00,12.0,Terrorist
http://www.wikidata.org/entity/Q2389611,Vladimir Arutyunian,1978-03-12 00:00:00+00:00,12.0,Terrorist
http://www.wikidata.org/entity/Q11836274,Tamerlan Tsarnaev,1986-10-21 00:00:00+00:00,12.0,Terrorist
http://www.wikidata.org/entity/Q1072877,Margherita Cagol,1945-04-08 00:00:00+00:00,11.0,Terrorist
