Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Al Gore,3.875,4.444,4.444,2.625,4.5
Aung San Suu Kyi,3.875,4.111,4.333,2.375,4.4
Barack Obama,4.0,4.222,4.333,2.375,4.2
Henry Kissinger,4.0,3.222,4.333,2.5,4.4
Jimmy Carter,4.0,4.667,4.444,2.5,4.2
Kofi Annan,3.625,4.444,4.222,2.375,4.1
Malala Yousafzai,4.25,4.778,4.667,2.125,4.7
Martin Luther King Jr.,4.375,4.667,4.556,2.375,4.7
Mikhail Gorbachev,3.875,3.889,3.889,2.75,4.2
Mother Teresa,4.125,5.0,4.778,1.375,4.1
Nelson Mandela,4.5,4.667,4.667,1.875,4.7
Tenzin Gyatso,3.625,4.556,4.0,2.5,4.5
Theodore Roosevelt,4.875,4.444,4.667,1.625,4.7
Woodrow Wilson,3.875,4.222,4.667,2.75,4.5
Yasser Arafat,4.125,2.778,3.889,2.875,4.1
