Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Alexander Pushkin,3.625,4.0,4.111,2.75,4.7
Bill Gates,3.875,4.444,4.667,2.25,4.5
Carl Friedrich Gauss,3.25,4.111,4.778,2.125,4.7
Charles Dickens,3.625,4.111,4.0,2.875,4.6
Charlie Chaplin,3.75,4.444,3.889,2.375,4.6
Guglielmo Marconi,4.0,4.222,4.556,2.25,4.6
Hans Christian Andersen,3.375,4.0,3.889,2.875,4.8
Jet Li,4.0,4.556,4.667,2.125,4.3
Jimmy Wales,3.625,4.111,3.889,2.625,4.0
Leonhard Euler,3.5,4.111,4.333,2.375,4.5
Michael Jackson,4.0,4.667,4.333,2.5,5.0
Oscar Wilde,3.75,3.778,3.556,2.875,4.7
Pierre-Simon Laplace,3.5,4.111,4.111,2.625,4.4
Ronald Reagan,4.5,4.667,4.556,1.625,4.1
Steve Jobs,4.25,4.222,4.778,2.25,5.0
