Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Al Gore,3.5,4.222,4.111,2.5,4.3
Anwar Sadat,4.125,3.778,3.889,2.75,4.0
Aung San Suu Kyi,3.625,4.111,4.556,3.125,4.2
Barack Obama,3.625,4.222,4.333,2.75,4.1
Dag Hammarskjold,3.125,4.0,4.222,3.125,4.1
Henry Kissinger,3.375,2.444,4.333,2.75,4.2
Jimmy Carter,3.25,4.556,4.222,2.625,3.8
Kofi Annan,3.625,4.111,4.111,3.0,3.9
Lech Walesa,3.375,4.0,4.333,3.0,3.9
Malala Yousafzai,4.125,4.556,4.667,2.625,4.4
Martin Luther King Jr.,3.625,4.556,4.222,2.75,3.9
Mikhail Gorbachev,3.375,3.889,4.444,3.125,4.3
Mother Teresa,3.0,4.556,4.222,2.625,3.7
Nelson Mandela,3.75,4.444,4.222,2.875,3.9
Shimon Peres,3.5,3.889,4.0,2.375,4.2
Tenzin Gyatso,3.375,4.111,3.333,3.0,4.2
Theodore Roosevelt,4.75,4.0,4.556,2.125,4.2
Willy Brandt,3.5,4.111,3.778,3.125,4.0
Woodrow Wilson,3.625,4.111,3.889,2.875,4.4
Yasser Arafat,3.625,3.333,3.444,2.75,4.1
