Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Alexander Pushkin,3.25,3.333,3.444,2.875,4.5
Bill Gates,3.75,4.0,4.889,1.875,4.3
Carl Friedrich Gauss,2.875,3.778,4.556,2.5,4.3
Charles Dickens,3.25,3.667,3.444,3.0,4.5
Charlie Chaplin,2.5,4.0,3.444,3.25,4.4
Dave Bautista,3.625,3.556,3.667,2.75,3.9
Donald Trump,3.5,3.0,4.778,2.125,4.0
Eusebio,3.625,3.889,3.778,3.0,4.0
George H. W. Bush,3.625,4.333,4.444,2.375,3.8
Guglielmo Marconi,3.5,3.778,4.444,3.0,3.9
Hans Christian Andersen,3.375,4.0,3.444,3.25,4.7
Jet Li,3.375,3.889,4.333,2.5,4.1
Jimmy Wales,3.625,3.556,3.889,3.0,4.3
Leonhard Euler,3.75,3.889,4.222,2.875,4.2
Michael Jackson,3.875,4.0,4.222,3.0,4.5
Oscar Wilde,3.375,3.333,3.333,3.0,4.8
Petr Cech,3.125,3.889,4.444,2.25,3.3
Pierre-Simon Laplace,3.375,3.667,4.222,2.625,4.3
Ronald Reagan,4.125,4.333,4.222,2.25,4.1
Steve Jobs,3.875,3.111,4.667,2.5,4.8
