Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Al Pacino,3.375,3.333,3.556,3.5,2.6
Alain Delon,3.125,3.0,2.889,2.375,3.1
Brad Pitt,3.25,3.111,2.889,4.0,3.0
Bradley Cooper,2.0,2.667,3.222,3.0,3.7
Bruce Lee,3.0,2.667,3.0,4.0,3.4
Charlotte Rampling,3.25,3.0,3.444,2.625,3.3
Corbin Bleu,3.125,3.333,3.222,3.375,3.3
Elizabeth Taylor,3.375,3.444,3.0,2.625,3.6
Hebe Camargo,3.375,3.222,2.667,3.125,3.8
Johnny Depp,3.0,2.444,3.333,3.375,3.0
Judy Garland,3.25,3.667,3.333,3.875,2.3
Leonardo DiCaprio,3.25,3.333,3.111,3.375,2.9
Marlene Dietrich,3.0,3.111,2.556,2.25,2.9
Marlon Brando,3.625,3.889,3.444,3.125,4.0
Maya Angelou,3.5,3.444,3.0,2.875,3.5
Miley Cyrus,2.875,3.0,2.333,3.25,3.8
Robin Williams,4.25,3.333,2.556,2.125,3.1
Ronald Reagan,3.5,3.111,3.111,2.75,3.8
Sean Connery,3.25,3.111,3.333,2.875,3.3
Tom Hanks,3.375,3.222,3.222,2.0,3.7
