Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Attalus I,3.25,3.111,3.0,3.25,3.0
Bernard Hinault,2.5,2.889,3.556,3.625,2.9
Dave Bautista,2.875,3.111,3.556,3.25,4.3
Dick Fosbury,2.875,3.889,3.222,3.5,3.4
Eusébio,3.375,3.667,2.889,3.25,3.2
Florence Griffith Joyner,2.625,2.556,2.444,3.125,3.0
Hana Mandlíková,2.5,3.444,3.0,3.25,2.4
Jackie Joyner-Kersee,3.75,3.556,2.778,3.125,3.6
Jet Li,2.375,2.778,2.889,3.875,3.4
Magdalena Neuner,3.125,2.333,2.556,2.25,2.6
Magnús Scheving,3.875,4.222,3.111,2.625,3.8
Matti Nykänen,3.0,3.333,4.0,2.375,3.5
Pavel Horváth,3.125,3.0,2.889,2.75,2.7
Pavel Nedvěd,3.0,3.333,3.778,2.625,3.3
Petr Čech,3.75,3.333,3.556,2.75,3.0
Roger Bannister,3.5,2.778,3.889,3.375,3.5
Ronda Rousey,3.375,2.889,2.667,3.125,3.9
Toni Schumacher,2.5,2.889,4.0,2.5,2.9
Tyson Fury,3.5,2.667,2.556,2.5,3.3
Vladimír Darida,3.5,3.0,3.444,2.625,3.9
Věra Čáslavská,3.125,3.333,3.444,3.0,3.7
Wladimir Klitschko,3.625,3.0,3.0,3.0,3.4
