Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Alexander Pushkin,2.5,2.889,3.556,3.25,3.1
Andy Warhol,2.75,3.0,3.0,3.75,3.7
Charles Dickens,3.625,3.0,2.778,3.25,2.9
Federico Fellini,3.0,2.667,3.222,2.25,2.9
George Sand,3.125,3.222,3.444,2.25,3.3
Hans Christian Andersen,3.375,3.222,3.333,2.875,3.4
J. K. Rowling,3.5,3.333,2.556,2.875,3.6
J. R. R. Tolkien,3.375,3.0,3.444,2.875,3.3
James Joyce,3.375,3.111,3.333,3.25,3.7
John Maynard Keynes,2.0,2.667,2.667,3.0,3.2
John McCain,3.25,3.333,2.556,3.25,2.8
Leonard Cohen,3.375,3.0,2.889,2.875,3.0
Oscar Wilde,4.0,3.778,3.111,2.625,3.6
Richard Dawkins,3.5,2.333,3.444,2.125,3.5
Richard Feynman,3.0,3.333,3.556,2.75,2.8
Sappho,3.0,3.111,3.111,3.875,3.9
Selma Lagerlöf,3.5,3.333,3.333,3.25,3.3
Simone de Beauvoir,3.75,2.667,3.333,3.5,3.6
Virginia Woolf,2.875,2.889,3.222,2.875,3.0
Woody Allen,2.75,3.444,3.667,2.5,2.7
