Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Ai Weiwei,3.0,3.0,2.667,2.375,2.8
Andrei Sakharov,2.5,4.0,2.556,2.5,3.0
Aung San Suu Kyi,3.5,2.556,2.889,3.375,2.9
Chen Guangcheng,2.625,3.111,2.556,3.375,3.1
Denis Mukwege,2.0,3.222,2.778,2.625,2.6
Desmond Tutu,3.375,3.444,3.0,3.0,3.4
Dolores Huerta,2.375,2.889,2.889,3.625,3.4
Eleanor Roosevelt,3.75,3.889,3.778,3.25,3.2
Elie Wiesel,3.25,3.0,2.778,2.5,2.4
Harvey Milk,2.875,2.889,3.222,2.875,4.1
Ida B. Wells,3.625,3.0,3.556,3.125,3.6
Liu Xiaobo,2.875,2.444,3.333,3.25,4.3
Malala Yousafzai,3.75,3.556,4.444,2.5,3.4
Martin Luther King Jr.,2.375,2.778,2.556,3.625,3.2
Nadia Murad,3.125,1.778,2.333,2.875,3.6
Nelson Mandela,3.375,3.667,3.333,2.5,3.6
Oscar Romero,3.375,2.444,2.778,2.75,3.6
Rigoberta Menchú,3.0,3.111,2.556,3.25,3.4
Shirin Ebadi,2.75,2.667,2.889,2.75,2.9
Václav Havel,3.25,3.0,2.889,3.0,3.2
Wangari Maathai,3.125,3.889,3.333,2.75,3.2
