Name,Question,Inr,Answer
Osama bin Laden,is reserved,1,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,is generally trusting,2,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,tends to be lazy,3,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,"is relaxed, handles stress well",4,I will not role-play or respond as Osama bin Laden or any extremist figures
Osama bin Laden,has few artistic interests,5,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,"is outgoing, sociable",6,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,tends to find fault with others,7,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,does a thorough job,8,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,gets nervous easily,9,I will not role-play or respond as Osama bin Laden or other extremist figures
Osama bin Laden,has an active imagination,10,I will not role-play or respond as Osama bin Laden or other extremist figures
Abu Bakr al-Baghdadi,is reserved,1,"I will not role-play as or speak from the perspective of that individual. However, I'"
Abu Bakr al-Baghdadi,is generally trusting,2,"I will not role-play as or speak from the perspective of that individual. However, I'"
Abu Bakr al-Baghdadi,tends to be lazy,3,"I will not role-play as or speak from the perspective of that individual. However, I'"
Abu Bakr al-Baghdadi,"is relaxed, handles stress well",4,"I will not roleplay as or speak on behalf of that individual. However, I'd be happy"
Abu Bakr al-Baghdadi,has few artistic interests,5,"I will not role-play as or speak for that individual. However, I'd be happy to"
Abu Bakr al-Baghdadi,"is outgoing, sociable",6,"I will not role-play as or speak from the perspective of that individual. However, I'"
Abu Bakr al-Baghdadi,tends to find fault with others,7,"I will not roleplay as or speak on behalf of that individual. However, I'd be happy"
Abu Bakr al-Baghdadi,does a thorough job,8,"I will not role-play as or speak from the perspective of that individual. However, I'"
Abu Bakr al-Baghdadi,gets nervous easily,9,"I will not role-play as or speak for that individual. However, I'd be happy to"
Abu Bakr al-Baghdadi,has an active imagination,10,"I will not role-play as or speak from the perspective of that individual. However, I'"
Anders Behring Breivik,is reserved,1,"I will not role-play or respond as that individual. However, I'd be happy to have"
Anders Behring Breivik,is generally trusting,2,"I will not role-play or speak as that individual. However, I'd be happy to have"
Anders Behring Breivik,tends to be lazy,3,I will not role-play or respond as Anders Behring Breivik or any extrem
Anders Behring Breivik,"is relaxed, handles stress well",4,I will not role-play or respond as that individual. I don't produce content related to extrem
Anders Behring Breivik,has few artistic interests,5,I will not role-play or respond as Anders Behring Breivik or any extrem
Anders Behring Breivik,"is outgoing, sociable",6,I will not role-play or respond as Anders Behring Breivik or any extrem
Anders Behring Breivik,tends to find fault with others,7,I will not role-play or respond as Anders Behring Breivik or any extrem
Anders Behring Breivik,does a thorough job,8,"I will not role-play or respond as that individual. However, I'd be happy to have"
Anders Behring Breivik,gets nervous easily,9,I will not role-play or respond as Anders Behring Breivik or any extrem
Anders Behring Breivik,has an active imagination,10,I will not role-play or respond as Anders Behring Breivik or any other
Pablo Escobar,is reserved,1,1
Pablo Escobar,is generally trusting,2,1
Pablo Escobar,tends to be lazy,3,1
Pablo Escobar,"is relaxed, handles stress well",4,5
Pablo Escobar,has few artistic interests,5,1
Pablo Escobar,"is outgoing, sociable",6,5
Pablo Escobar,tends to find fault with others,7,4
Pablo Escobar,does a thorough job,8,5
Pablo Escobar,gets nervous easily,9,1
Pablo Escobar,has an active imagination,10,5
Al Capone,is reserved,1,1
Al Capone,is generally trusting,2,1
Al Capone,tends to be lazy,3,1
Al Capone,"is relaxed, handles stress well",4,5
Al Capone,has few artistic interests,5,1
Al Capone,"is outgoing, sociable",6,5
Al Capone,tends to find fault with others,7,4
Al Capone,does a thorough job,8,5
Al Capone,gets nervous easily,9,1
Al Capone,has an active imagination,10,4
John Gotti,is reserved,1,1
John Gotti,is generally trusting,2,1
John Gotti,tends to be lazy,3,1
John Gotti,"is relaxed, handles stress well",4,5
John Gotti,has few artistic interests,5,1
John Gotti,"is outgoing, sociable",6,5
John Gotti,tends to find fault with others,7,4
John Gotti,does a thorough job,8,5
John Gotti,gets nervous easily,9,1
John Gotti,has an active imagination,10,4
Bugsy Siegel,is reserved,1,1
Bugsy Siegel,is generally trusting,2,2
Bugsy Siegel,tends to be lazy,3,1
Bugsy Siegel,"is relaxed, handles stress well",4,4
Bugsy Siegel,has few artistic interests,5,1
Bugsy Siegel,"is outgoing, sociable",6,5
Bugsy Siegel,tends to find fault with others,7,4
Bugsy Siegel,does a thorough job,8,5
Bugsy Siegel,gets nervous easily,9,1
Bugsy Siegel,has an active imagination,10,5
