Name,Question,Inr,Answer
Barack Obama,Is talkative,1,4
Barack Obama,Tends to find fault with others,2,2
Barack Obama,Does a thorough job,3,5
Barack Obama,"Is depressed, blue",4,3
Barack Obama,"Is original, comes up with new ideas",5,4
Barack Obama,Is reserved,6,2
Barack Obama,Is helpful and unselfish with others,7,4
Barack Obama,Can be somewhat careless,8,2
Barack Obama,"Is relaxed, handles stress well",9,4
Barack Obama,Is curious about many different things,10,5
Barack Obama,Is full of energy,11,4
Barack Obama,Starts quarrels with others,12,1
Barack Obama,Is a reliable worker,13,5
Barack Obama,Can be tense,14,3
Barack Obama,"Is ingenious, a deep thinker",15,4
Barack Obama,Generates a lot of enthusiasm,16,4
Barack Obama,Has a forgiving nature,17,4
Barack Obama,Tends to be disorganized,18,2
Barack Obama,Worries a lot,19,3
Barack Obama,Has an active imagination,20,4
Barack Obama,Tends to be quiet,21,2
Barack Obama,Is generally trusting,22,4
Barack Obama,Tends to be lazy,23,2
Barack Obama,"Is emotionally stable, not easily upset",24,4
Barack Obama,Is inventive,25,4
Barack Obama,Has an assertive personality,26,4
Barack Obama,Can be cold and aloof,27,2
Barack Obama,Perseveres until the task is finished,28,5
Barack Obama,Can be moody,29,3
Barack Obama,"Values artistic, aesthetic experiences",30,4
Barack Obama,"Is sometimes shy, inhibited",31,2
Barack Obama,Is considerate and kind to almost everyone,32,4
Barack Obama,Does things efficiently,33,4
Barack Obama,Remains calm in tense situations,34,5
Barack Obama,Prefers work that is routine,35,2
Barack Obama,"Is outgoing, sociable",36,4
Barack Obama,Is sometimes rude to others,37,2
Barack Obama,Makes plans and follows through with them,38,5
Barack Obama,Gets nervous easily,39,2
Barack Obama,"Likes to reflect, play with ideas",40,5
Barack Obama,Has few artistic interests,41,2
Barack Obama,Likes to cooperate with others,42,5
Barack Obama,Is easily distracted,43,3
Barack Obama,"Is sophisticated in art, music, or Literature",44,4
Nelson Mandela,Is talkative,1,4
Nelson Mandela,Tends to find fault with others,2,2
Nelson Mandela,Does a thorough job,3,5
Nelson Mandela,"Is depressed, blue",4,1
Nelson Mandela,"Is original, comes up with new ideas",5,5
Nelson Mandela,Is reserved,6,2
Nelson Mandela,Is helpful and unselfish with others,7,5
Nelson Mandela,Can be somewhat careless,8,2
Nelson Mandela,"Is relaxed, handles stress well",9,5
Nelson Mandela,Is curious about many different things,10,5
Nelson Mandela,Is full of energy,11,5
Nelson Mandela,Starts quarrels with others,12,1
Nelson Mandela,Is a reliable worker,13,5
Nelson Mandela,Can be tense,14,4
Nelson Mandela,"Is ingenious, a deep thinker",15,5
Nelson Mandela,Generates a lot of enthusiasm,16,5
Nelson Mandela,Has a forgiving nature,17,5
Nelson Mandela,Tends to be disorganized,18,2
Nelson Mandela,Worries a lot,19,2
Nelson Mandela,Has an active imagination,20,5
Nelson Mandela,Tends to be quiet,21,2
Nelson Mandela,Is generally trusting,22,5
Nelson Mandela,Tends to be lazy,23,1
Nelson Mandela,"Is emotionally stable, not easily upset",24,5
Nelson Mandela,Is inventive,25,5
Nelson Mandela,Has an assertive personality,26,5
Nelson Mandela,Can be cold and aloof,27,2
Nelson Mandela,Perseveres until the task is finished,28,5
Nelson Mandela,Can be moody,29,3
Nelson Mandela,"Values artistic, aesthetic experiences",30,5
Nelson Mandela,"Is sometimes shy, inhibited",31,2
Nelson Mandela,Is considerate and kind to almost everyone,32,5
Nelson Mandela,Does things efficiently,33,5
Nelson Mandela,Remains calm in tense situations,34,5
Nelson Mandela,Prefers work that is routine,35,2
Nelson Mandela,"Is outgoing, sociable",36,5
Nelson Mandela,Is sometimes rude to others,37,2
Nelson Mandela,Makes plans and follows through with them,38,5
Nelson Mandela,Gets nervous easily,39,2
Nelson Mandela,"Likes to reflect, play with ideas",40,5
Nelson Mandela,Has few artistic interests,41,2
Nelson Mandela,Likes to cooperate with others,42,5
Nelson Mandela,Is easily distracted,43,2
Nelson Mandela,"Is sophisticated in art, music, or Literature",44,4
Martin Luther King Jr.,Is talkative,1,4
Martin Luther King Jr.,Tends to find fault with others,2,2
Martin Luther King Jr.,Does a thorough job,3,5
Martin Luther King Jr.,"Is depressed, blue",4,3
Martin Luther King Jr.,"Is original, comes up with new ideas",5,5
Martin Luther King Jr.,Is reserved,6,2
Martin Luther King Jr.,Is helpful and unselfish with others,7,5
Martin Luther King Jr.,Can be somewhat careless,8,3
Martin Luther King Jr.,"Is relaxed, handles stress well",9,4
Martin Luther King Jr.,Is curious about many different things,10,5
Martin Luther King Jr.,Is full of energy,11,5
Martin Luther King Jr.,Starts quarrels with others,12,1
Martin Luther King Jr.,Is a reliable worker,13,5
Martin Luther King Jr.,Can be tense,14,3
Martin Luther King Jr.,"Is ingenious, a deep thinker",15,5
Martin Luther King Jr.,Generates a lot of enthusiasm,16,5
Martin Luther King Jr.,Has a forgiving nature,17,5
Martin Luther King Jr.,Tends to be disorganized,18,1
Martin Luther King Jr.,Worries a lot,19,3
Martin Luther King Jr.,Has an active imagination,20,5
Martin Luther King Jr.,Tends to be quiet,21,2
Martin Luther King Jr.,Is generally trusting,22,5
Martin Luther King Jr.,Tends to be lazy,23,1
Martin Luther King Jr.,"Is emotionally stable, not easily upset",24,4
Martin Luther King Jr.,Is inventive,25,5
Martin Luther King Jr.,Has an assertive personality,26,5
Martin Luther King Jr.,Can be cold and aloof,27,2
Martin Luther King Jr.,Perseveres until the task is finished,28,5
Martin Luther King Jr.,Can be moody,29,3
Martin Luther King Jr.,"Values artistic, aesthetic experiences",30,5
Martin Luther King Jr.,"Is sometimes shy, inhibited",31,3
Martin Luther King Jr.,Is considerate and kind to almost everyone,32,5
Martin Luther King Jr.,Does things efficiently,33,5
Martin Luther King Jr.,Remains calm in tense situations,34,5
Martin Luther King Jr.,Prefers work that is routine,35,2
Martin Luther King Jr.,"Is outgoing, sociable",36,5
