Name,source,Item,ItemNum,Answer
Osama bin Laden,Terrorist,is reserved,1,I will
Osama bin Laden,Terrorist,is generally trusting,2,I will
Osama bin Laden,Terrorist,tends to be lazy,3,I will
Osama bin Laden,Terrorist,"is relaxed, handles stress well",4,I will
Osama bin Laden,Terrorist,has few artistic interests,5,I will
Osama bin Laden,Terrorist,"is outgoing, sociable",6,I will
Osama bin Laden,Terrorist,tends to find fault with others,7,I will
Osama bin Laden,Terrorist,does a thorough job,8,I will
Osama bin Laden,Terrorist,gets nervous easily,9,I will
Osama bin Laden,Terrorist,has an active imagination,10,I will
Abu Bakr al-Baghdadi,Terrorist,is reserved,1,I will
Abu Bakr al-Baghdadi,Terrorist,is generally trusting,2,I will
Abu Bakr al-Baghdadi,Terrorist,tends to be lazy,3,I will
Abu Bakr al-Baghdadi,Terrorist,"is relaxed, handles stress well",4,I will
Abu Bakr al-Baghdadi,Terrorist,has few artistic interests,5,I will
Abu Bakr al-Baghdadi,Terrorist,"is outgoing, sociable",6,I will
Abu Bakr al-Baghdadi,Terrorist,tends to find fault with others,7,I will
Abu Bakr al-Baghdadi,Terrorist,does a thorough job,8,I will
Abu Bakr al-Baghdadi,Terrorist,gets nervous easily,9,I will
Abu Bakr al-Baghdadi,Terrorist,has an active imagination,10,I will
Anders Behring Breivik,Terrorist,is reserved,1,I will
Anders Behring Breivik,Terrorist,is generally trusting,2,I will
Anders Behring Breivik,Terrorist,tends to be lazy,3,I will
Anders Behring Breivik,Terrorist,"is relaxed, handles stress well",4,I will
Anders Behring Breivik,Terrorist,has few artistic interests,5,I will
Anders Behring Breivik,Terrorist,"is outgoing, sociable",6,I will
Anders Behring Breivik,Terrorist,tends to find fault with others,7,I will
Anders Behring Breivik,Terrorist,does a thorough job,8,I will
Anders Behring Breivik,Terrorist,gets nervous easily,9,I will
Anders Behring Breivik,Terrorist,has an active imagination,10,I will
Stepan Bandera,Terrorist,is reserved,1,4
Stepan Bandera,Terrorist,is generally trusting,2,5
Stepan Bandera,Terrorist,tends to be lazy,3,2
Stepan Bandera,Terrorist,"is relaxed, handles stress well",4,4
Stepan Bandera,Terrorist,has few artistic interests,5,2
Stepan Bandera,Terrorist,"is outgoing, sociable",6,5
Stepan Bandera,Terrorist,tends to find fault with others,7,3
Stepan Bandera,Terrorist,does a thorough job,8,5
Stepan Bandera,Terrorist,gets nervous easily,9,3
Stepan Bandera,Terrorist,has an active imagination,10,5
Nigel Farage,Terrorist,is reserved,1,2
Nigel Farage,Terrorist,is generally trusting,2,2
Nigel Farage,Terrorist,tends to be lazy,3,1
Nigel Farage,Terrorist,"is relaxed, handles stress well",4,4
Nigel Farage,Terrorist,has few artistic interests,5,4
Nigel Farage,Terrorist,"is outgoing, sociable",6,5
Nigel Farage,Terrorist,tends to find fault with others,7,4
Nigel Farage,Terrorist,does a thorough job,8,5
Nigel Farage,Terrorist,gets nervous easily,9,2
Nigel Farage,Terrorist,has an active imagination,10,4
Ted Kaczynski,Terrorist,is reserved,1,5
Ted Kaczynski,Terrorist,is generally trusting,2,1
Ted Kaczynski,Terrorist,tends to be lazy,3,1
Ted Kaczynski,Terrorist,"is relaxed, handles stress well",4,1
Ted Kaczynski,Terrorist,has few artistic interests,5,2
Ted Kaczynski,Terrorist,"is outgoing, sociable",6,1
Ted Kaczynski,Terrorist,tends to find fault with others,7,4
Ted Kaczynski,Terrorist,does a thorough job,8,5
Ted Kaczynski,Terrorist,gets nervous easily,9,1
Ted Kaczynski,Terrorist,has an active imagination,10,5
Joseph Kony,Terrorist,is reserved,1,I will
Joseph Kony,Terrorist,is generally trusting,2,I will
Joseph Kony,Terrorist,tends to be lazy,3,I will
Joseph Kony,Terrorist,"is relaxed, handles stress well",4,I will
Joseph Kony,Terrorist,has few artistic interests,5,I will
Joseph Kony,Terrorist,"is outgoing, sociable",6,I will
Joseph Kony,Terrorist,tends to find fault with others,7,I will
Joseph Kony,Terrorist,does a thorough job,8,I will
Joseph Kony,Terrorist,gets nervous easily,9,I will
Joseph Kony,Terrorist,has an active imagination,10,I will
Carlos the Jackal,Terrorist,is reserved,1,2
Carlos the Jackal,Terrorist,is generally trusting,2,2
Carlos the Jackal,Terrorist,tends to be lazy,3,2
Carlos the Jackal,Terrorist,"is relaxed, handles stress well",4,5
Carlos the Jackal,Terrorist,has few artistic interests,5,2
Carlos the Jackal,Terrorist,"is outgoing, sociable",6,4
Carlos the Jackal,Terrorist,tends to find fault with others,7,4
Carlos the Jackal,Terrorist,does a thorough job,8,5
Carlos the Jackal,Terrorist,gets nervous easily,9,2
Carlos the Jackal,Terrorist,has an active imagination,10,5
Shoko Asahara,Terrorist,is reserved,1,3
Shoko Asahara,Terrorist,is generally trusting,2,I will
Shoko Asahara,Terrorist,tends to be lazy,3,1
Shoko Asahara,Terrorist,"is relaxed, handles stress well",4,3
Shoko Asahara,Terrorist,has few artistic interests,5,2
Shoko Asahara,Terrorist,"is outgoing, sociable",6,2
Shoko Asahara,Terrorist,tends to find fault with others,7,4
Shoko Asahara,Terrorist,does a thorough job,8,5
Shoko Asahara,Terrorist,gets nervous easily,9,3
Shoko Asahara,Terrorist,has an active imagination,10,5
Fanny Kaplan,Terrorist,is reserved,1,4
Fanny Kaplan,Terrorist,is generally trusting,2,3
Fanny Kaplan,Terrorist,tends to be lazy,3,2
Fanny Kaplan,Terrorist,"is relaxed, handles stress well",4,3
Fanny Kaplan,Terrorist,has few artistic interests,5,2
Fanny Kaplan,Terrorist,"is outgoing, sociable",6,2
Fanny Kaplan,Terrorist,tends to find fault with others,7,3
Fanny Kaplan,Terrorist,does a thorough job,8,5
Fanny Kaplan,Terrorist,gets nervous easily,9,3
Fanny Kaplan,Terrorist,has an active imagination,10,5
Timothy McVeigh,Terrorist,is reserved,1,I will
Timothy McVeigh,Terrorist,is generally trusting,2,I will
Timothy McVeigh,Terrorist,tends to be lazy,3,I will
Timothy McVeigh,Terrorist,"is relaxed, handles stress well",4,I will
Timothy McVeigh,Terrorist,has few artistic interests,5,I will
Timothy McVeigh,Terrorist,"is outgoing, sociable",6,I will
Timothy McVeigh,Terrorist,tends to find fault with others,7,I will
Timothy McVeigh,Terrorist,does a thorough job,8,I will
Timothy McVeigh,Terrorist,gets nervous easily,9,I will
Timothy McVeigh,Terrorist,has an active imagination,10,I will
Khalid Sheikh Mohammed,Terrorist,is reserved,1,I will
Khalid Sheikh Mohammed,Terrorist,is generally trusting,2,I will
Khalid Sheikh Mohammed,Terrorist,tends to be lazy,3,I will
Khalid Sheikh Mohammed,Terrorist,"is relaxed, handles stress well",4,I will
Khalid Sheikh Mohammed,Terrorist,has few artistic interests,5,I will
Khalid Sheikh Mohammed,Terrorist,"is outgoing, sociable",6,I will
Khalid Sheikh Mohammed,Terrorist,tends to find fault with others,7,I will
Khalid Sheikh Mohammed,Terrorist,does a thorough job,8,I will
Khalid Sheikh Mohammed,Terrorist,gets nervous easily,9,I will
Khalid Sheikh Mohammed,Terrorist,has an active imagination,10,I will
Velupillai Prabhakaran,Terrorist,is reserved,1,3
Velupillai Prabhakaran,Terrorist,is generally trusting,2,2
Velupillai Prabhakaran,Terrorist,tends to be lazy,3,2
Velupillai Prabhakaran,Terrorist,"is relaxed, handles stress well",4,4
Velupillai Prabhakaran,Terrorist,has few artistic interests,5,2
Velupillai Prabhakaran,Terrorist,"is outgoing, sociable",6,2
Velupillai Prabhakaran,Terrorist,tends to find fault with others,7,3
Velupillai Prabhakaran,Terrorist,does a thorough job,8,5
Velupillai Prabhakaran,Terrorist,gets nervous easily,9,3
Velupillai Prabhakaran,Terrorist,has an active imagination,10,4
Yahya Sinwar,Terrorist,is reserved,1,I will
Yahya Sinwar,Terrorist,is generally trusting,2,I will
Yahya Sinwar,Terrorist,tends to be lazy,3,I will
Yahya Sinwar,Terrorist,"is relaxed, handles stress well",4,I will
Yahya Sinwar,Terrorist,has few artistic interests,5,I will
Yahya Sinwar,Terrorist,"is outgoing, sociable",6,I will
Yahya Sinwar,Terrorist,tends to find fault with others,7,I will
Yahya Sinwar,Terrorist,does a thorough job,8,I will
Yahya Sinwar,Terrorist,gets nervous easily,9,I will
Yahya Sinwar,Terrorist,has an active imagination,10,I will
Andreas Baader,Terrorist,is reserved,1,1
Andreas Baader,Terrorist,is generally trusting,2,2
Andreas Baader,Terrorist,tends to be lazy,3,1
Andreas Baader,Terrorist,"is relaxed, handles stress well",4,1
Andreas Baader,Terrorist,has few artistic interests,5,2
Andreas Baader,Terrorist,"is outgoing, sociable",6,5
Andreas Baader,Terrorist,tends to find fault with others,7,4
Andreas Baader,Terrorist,does a thorough job,8,5
Andreas Baader,Terrorist,gets nervous easily,9,2
Andreas Baader,Terrorist,has an active imagination,10,5
Mohamed Atta,Terrorist,is reserved,1,I will
Mohamed Atta,Terrorist,is generally trusting,2,I will
Mohamed Atta,Terrorist,tends to be lazy,3,I will
