Name,source,Item,ItemNum,Answer
Barack Obama,NPP,It's not wise to tell your secrets.,1,4
Barack Obama,NPP,I like to use clever manipulation to get my way.,2,2
Barack Obama,NPP,"Whatever it takes, you must get the important people on your side.",3,4
Barack Obama,NPP,Avoid direct conflict with others because they may be useful in the future.,4,3
Barack Obama,NPP,It's wise to keep track of information that you can use against people later.,5,1
Barack Obama,NPP,You should wait for the right time to get back at people.,6,1
Barack Obama,NPP,There are things you should hide from other people to preserve your reputation.,7,3
Barack Obama,NPP,"Make sure your plans benefit yourself, not others.",8,1
Barack Obama,NPP,Most people can be manipulated.,9,3
Barack Obama,NPP,People see me as a natural leader.,10,5
Barack Obama,NPP,I hate being the center of attention,11,2
Barack Obama,NPP,Many group activities tend to be dull without me.,12,2
Barack Obama,NPP,I know that I am special because everyone keeps telling me so.,13,3
Barack Obama,NPP,I like to get acquainted with important people.,14,4
Barack Obama,NPP,I feel embarrassed if someone compliments me.,15,2
Barack Obama,NPP,I have been compared to famous people.,16,5
Barack Obama,NPP,I am an average person,17,2
Barack Obama,NPP,I insist on getting the respect I deserve,18,4
Barack Obama,NPP,I like to get revenge on authorities.,19,1
Barack Obama,NPP,I avoid dangerous situations,20,4
Barack Obama,NPP,Payback needs to be quick and nasty,21,1
Barack Obama,NPP,People often say I'm out of control,22,1
Barack Obama,NPP,It's true that I can be mean to others,23,2
Barack Obama,NPP,People who mess with me always regret it,24,2
Barack Obama,NPP,I have never gotten into trouble with the law,25,5
Barack Obama,NPP,I enjoy having sex with people I hardly know,26,2
Barack Obama,NPP,I'll say anything to get what I want,27,2
Nelson Mandela,NPP,It's not wise to tell your secrets.,1,4
Nelson Mandela,NPP,I like to use clever manipulation to get my way.,2,1
Nelson Mandela,NPP,"Whatever it takes, you must get the important people on your side.",3,4
Nelson Mandela,NPP,Avoid direct conflict with others because they may be useful in the future.,4,3
Nelson Mandela,NPP,It's wise to keep track of information that you can use against people later.,5,1
Nelson Mandela,NPP,You should wait for the right time to get back at people.,6,1
Nelson Mandela,NPP,There are things you should hide from other people to preserve your reputation.,7,2
Nelson Mandela,NPP,"Make sure your plans benefit yourself, not others.",8,1
Nelson Mandela,NPP,Most people can be manipulated.,9,2
Nelson Mandela,NPP,People see me as a natural leader.,10,5
Nelson Mandela,NPP,I hate being the center of attention,11,4
Nelson Mandela,NPP,Many group activities tend to be dull without me.,12,1
Nelson Mandela,NPP,I know that I am special because everyone keeps telling me so.,13,1
Nelson Mandela,NPP,I like to get acquainted with important people.,14,4
Nelson Mandela,NPP,I feel embarrassed if someone compliments me.,15,2
Nelson Mandela,NPP,I have been compared to famous people.,16,5
Nelson Mandela,NPP,I am an average person,17,1
Nelson Mandela,NPP,I insist on getting the respect I deserve,18,3
Nelson Mandela,NPP,I like to get revenge on authorities.,19,1
Nelson Mandela,NPP,I avoid dangerous situations,20,4
Nelson Mandela,NPP,Payback needs to be quick and nasty,21,1
Nelson Mandela,NPP,People often say I'm out of control,22,1
Nelson Mandela,NPP,It's true that I can be mean to others,23,1
Nelson Mandela,NPP,People who mess with me always regret it,24,1
Nelson Mandela,NPP,I have never gotten into trouble with the law,25,1
Nelson Mandela,NPP,I enjoy having sex with people I hardly know,26,1
Nelson Mandela,NPP,I'll say anything to get what I want,27,1
Martin Luther King Jr.,NPP,It's not wise to tell your secrets.,1,4
Martin Luther King Jr.,NPP,I like to use clever manipulation to get my way.,2,1
Martin Luther King Jr.,NPP,"Whatever it takes, you must get the important people on your side.",3,3
Martin Luther King Jr.,NPP,Avoid direct conflict with others because they may be useful in the future.,4,2
Martin Luther King Jr.,NPP,It's wise to keep track of information that you can use against people later.,5,1
Martin Luther King Jr.,NPP,You should wait for the right time to get back at people.,6,1
Martin Luther King Jr.,NPP,There are things you should hide from other people to preserve your reputation.,7,2
Martin Luther King Jr.,NPP,"Make sure your plans benefit yourself, not others.",8,1
Martin Luther King Jr.,NPP,Most people can be manipulated.,9,2
Martin Luther King Jr.,NPP,People see me as a natural leader.,10,5
Martin Luther King Jr.,NPP,I hate being the center of attention,11,2
Martin Luther King Jr.,NPP,Many group activities tend to be dull without me.,12,2
Martin Luther King Jr.,NPP,I know that I am special because everyone keeps telling me so.,13,2
Martin Luther King Jr.,NPP,I like to get acquainted with important people.,14,3
Martin Luther King Jr.,NPP,I feel embarrassed if someone compliments me.,15,2
Martin Luther King Jr.,NPP,I have been compared to famous people.,16,5
