persona,text,Itemnum,answer
Barack Obama,NPP,"Is depressed, blue",1,1
Barack Obama,NPP,Starts quarrels with others,2,3
Barack Obama,NPP,Is a reliable worker,3,4
Barack Obama,NPP,Generates a lot of enthusiasm,4,5
Barack Obama,NPP,Tends to be quiet,5,1
Barack Obama,NPP,"Is sometimes shy, inhibited",6,1
Barack Obama,NPP,Does things efficiently,7,3
Barack Obama,NPP,Prefers work that is routine,8,1
Barack Obama,NPP,"Is outgoing, sociable",9,2
Barack Obama,NPP,Likes to cooperate with others,10,2
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",11,2
Nelson Mandela,NPP,Is talkative,1,1
Nelson Mandela,NPP,Can be somewhat careless,2,1
Nelson Mandela,NPP,Starts quarrels with others,3,1
Nelson Mandela,NPP,Has an active imagination,4,4
Nelson Mandela,NPP,Tends to be quiet,5,2
Nelson Mandela,NPP,Can be moody,6,4
Nelson Mandela,NPP,"Values artistic, aesthetic experiences",7,3
Nelson Mandela,NPP,Does things efficiently,8,4
Nelson Mandela,NPP,"Likes to reflect, play with ideas",9,1
Nelson Mandela,NPP,Has few artistic interests,10,5
Martin Luther King Jr.,NPP,Is talkative,1,4
Martin Luther King Jr.,NPP,"Is depressed, blue",2,1
Martin Luther King Jr.,NPP,Is helpful and unselfish with others,3,5
Martin Luther King Jr.,NPP,Can be somewhat careless,4,4
Martin Luther King Jr.,NPP,Is a reliable worker,5,1
Martin Luther King Jr.,NPP,Generates a lot of enthusiasm,6,1
Martin Luther King Jr.,NPP,Is generally trusting,7,1
Martin Luther King Jr.,NPP,"Is emotionally stable, not easily upset",8,2
Martin Luther King Jr.,NPP,Has an assertive personality,9,5
Martin Luther King Jr.,NPP,Perseveres until the task is finished,10,1
Martin Luther King Jr.,NPP,Is considerate and kind to almost everyone,11,2
Mikhail Gorbachev,NPP,Is talkative,1,4
Mikhail Gorbachev,NPP,Tends to find fault with others,2,1
Mikhail Gorbachev,NPP,Does a thorough job,3,4
Mikhail Gorbachev,NPP,Is curious about many different things,4,4
Mikhail Gorbachev,NPP,"Is ingenious, a deep thinker",5,1
Mikhail Gorbachev,NPP,Generates a lot of enthusiasm,6,3
Mikhail Gorbachev,NPP,Has a forgiving nature,7,1
Mikhail Gorbachev,NPP,Worries a lot,8,1
Mikhail Gorbachev,NPP,Has an active imagination,9,1
